19,"select specObj.bestObjid, count (specline.restwave) as numlines from specObj, specLine where specObj.specObjID = specline.specObjID AND specLine.restwave > # AND specObj.bestObjID < > # group by specObj.bestObjID order by count (specLine.restwave) desc"
2019-03-07 14:56:00,1
2019-04-04 01:55:00,1
2019-04-04 23:35:00,1
2019-05-02 17:42:00,1
2019-06-10 17:28:00,2
2019-06-12 17:45:00,1
2019-06-14 15:39:00,1
2019-06-20 05:20:00,1
2019-06-24 23:35:00,1
2019-06-28 22:07:00,1
2019-07-03 20:18:00,1
2019-07-03 20:20:00,1
2019-07-03 22:46:00,1
2019-07-03 22:47:00,1
2019-09-13 17:46:00,1
2019-09-13 18:01:00,1
2019-09-19 19:29:00,1
2019-10-28 14:47:00,1
