23,"select creationDate , sum (#) over (order by creationDate rows between unbounded preceding and current row) as cumsum from t_sciserverentity where dtype = #"
2019-01-05 16:23:00,2
2019-01-05 16:27:00,1
2019-01-05 16:28:00,1
2019-01-05 16:29:00,1
2019-09-30 10:12:00,2
2019-09-30 10:13:00,1
2019-09-30 10:39:00,1
2019-09-30 10:43:00,1
2019-09-30 12:11:00,1
2019-11-22 15:48:00,1
2019-11-22 16:36:00,1
2019-11-22 17:33:00,1
2019-11-22 18:04:00,1
2019-11-22 18:05:00,1
2019-11-22 18:09:00,2
2019-11-22 18:10:00,1
2019-11-22 18:11:00,1
2019-11-24 17:23:00,2
2019-11-26 12:08:00,1
