21,"SELECT EID, [Hearing_difficulty_problems_#], [Hearing_difficulty_problems_pilot__#], [Hearing_difficulty_problems_with_background_noise_#], [Hearing_aid_user_#], [Cochlear_implant_#], [Tinnitus_#], [Tinnitus_severity_nuisance_#], [Noisy_workplace_#], [Loud_music_exposure_frequency_#] FROM Hearing GO"
2019-04-15 13:25:00,1
2019-04-15 13:35:00,1
2019-04-16 08:56:00,1
2019-04-16 08:58:00,1
2019-04-16 10:12:00,1
2019-04-16 10:14:00,1
2019-04-16 10:17:00,1
2019-04-16 10:35:00,1
2019-04-17 11:27:00,1
2019-04-23 09:44:00,1
2019-04-23 10:47:00,1
2019-04-23 10:51:00,1
2019-04-24 09:48:00,1
2019-04-24 09:54:00,1
2019-04-24 13:19:00,1
2019-04-29 11:38:00,1
2019-04-30 11:43:00,1
2019-04-30 15:37:00,1
2019-05-01 09:26:00,1
2019-05-02 09:32:00,1
2019-05-02 10:34:00,1
