15,"select * from OPENQUERY ([CBIO], #' #) as case_ids from cancer_study cs inner join sample_list sl on sl.CANCER_STUDY_ID = cs.CANCER_STUDY_ID join sample_list_list sll on sl.list_id = sll.list_id join sample s on s.internal_id = sll.sample_id where cs.cancer_study_identifier = #paac_jhu_## group by sl.stable_id, sl.cancer_study_id order by #, #') a"
2019-04-30 16:08:00,1
2019-05-06 12:03:00,1
2019-05-06 12:09:00,1
2019-05-07 18:28:00,1
2019-05-07 19:00:00,1
2019-05-07 19:05:00,1
2019-05-29 14:17:00,1
2019-11-05 16:23:00,1
2019-11-05 16:32:00,1
2019-11-06 11:28:00,1
2019-11-06 11:35:00,1
2019-11-08 15:42:00,1
2019-11-08 17:06:00,1
2019-11-11 11:39:00,2
