21,"SELECT EID, [Medication_for_cholesterol_blood_pressure_or_diabetes_#], [Medication_for_cholesterol_blood_pressure_diabetes_or_take_exogenous_hormones_#], [Taking_other_prescription_medications_#], [Medication_for_pain_relief_constipation_heartburn_#], [Medication_for_pain_relief_constipation_heartburn_pilot__#], [Medication_for_smoking_cessation_constipation_heartburn_allergies_pilot__#], [Vitamin_and_mineral_supplements_#], [Vitamin_and_mineral_supplements_pilot__#], [Mineral_and_other_dietary_supplements_#], [Vitamin_supplements_pilot__#], [Other_dietary_supplements_pilot__#] FROM Medication GO"
2019-04-15 13:25:00,1
2019-04-15 13:35:00,1
2019-04-16 08:56:00,1
2019-04-16 08:58:00,1
2019-04-16 10:12:00,1
2019-04-16 10:14:00,1
2019-04-16 10:17:00,1
2019-04-16 10:35:00,1
2019-04-17 11:27:00,1
2019-04-23 09:44:00,1
2019-04-23 10:47:00,1
2019-04-23 10:51:00,1
2019-04-24 09:48:00,1
2019-04-24 09:54:00,1
2019-04-24 13:19:00,1
2019-04-29 11:38:00,1
2019-04-30 11:43:00,1
2019-04-30 15:37:00,1
2019-05-01 09:26:00,1
2019-05-02 09:32:00,1
2019-05-02 10:34:00,1
