816,"SELECT DISTINCT p.run, p.rerun, p.camcol, p.field FROM fGetNearbyObjEq (#, #, #) n, PhotoPrimary p WHERE n.objID = p.objID"
2019-04-26 17:40:00,1
2019-04-26 17:43:00,2
2019-04-26 17:56:00,1
2019-04-26 18:06:00,2
2019-04-26 18:17:00,1
2019-04-26 18:28:00,1
2019-04-26 18:39:00,1
2019-04-26 18:40:00,1
2019-04-26 18:50:00,1
2019-04-26 19:01:00,1
2019-04-26 19:12:00,1
2019-04-26 19:23:00,1
2019-04-27 04:22:00,1
2019-04-27 04:55:00,1
2019-04-27 05:54:00,1
2019-04-27 06:54:00,1
2019-04-27 07:17:00,1
2019-04-27 07:21:00,1
2019-04-27 07:25:00,1
2019-04-27 08:39:00,1
2019-04-27 09:44:00,1
2019-04-27 11:16:00,1
2019-04-28 19:13:00,1
2019-04-30 10:20:00,1
2019-04-30 10:26:00,1
2019-04-30 10:57:00,1
2019-04-30 11:15:00,1
2019-04-30 11:32:00,1
2019-04-30 11:38:00,1
2019-04-30 11:43:00,1
2019-04-30 11:51:00,1
2019-05-22 05:40:00,1
2019-05-22 05:43:00,1
2019-05-22 05:47:00,1
2019-05-22 05:51:00,1
2019-05-22 05:55:00,1
2019-05-22 05:59:00,1
2019-05-22 06:03:00,1
2019-05-22 06:07:00,1
2019-05-22 06:11:00,1
2019-05-22 06:15:00,1
2019-05-22 06:19:00,1
2019-05-22 06:24:00,1
2019-05-22 06:30:00,1
2019-05-22 06:33:00,1
2019-05-22 06:38:00,1
2019-05-22 06:41:00,1
2019-05-22 06:46:00,1
2019-05-22 06:50:00,1
2019-05-22 06:54:00,1
2019-05-22 06:57:00,1
2019-05-22 07:02:00,1
2019-05-22 07:06:00,1
2019-05-22 07:10:00,1
2019-05-22 07:13:00,1
2019-05-22 07:18:00,1
2019-05-22 07:22:00,1
2019-05-22 07:26:00,1
2019-05-22 07:29:00,1
2019-05-22 07:50:00,1
2019-05-22 07:54:00,1
2019-05-22 07:58:00,1
2019-05-22 08:02:00,1
2019-05-22 15:31:00,1
2019-05-27 01:15:00,1
2019-05-31 04:22:00,1
2019-05-31 04:49:00,1
2019-05-31 05:20:00,1
2019-06-18 21:53:00,1
2019-06-18 22:47:00,1
2019-06-18 23:48:00,1
2019-06-19 00:45:00,1
2019-06-30 06:22:00,1
2019-06-30 06:26:00,1
2019-06-30 06:30:00,1
2019-06-30 06:35:00,1
2019-06-30 06:42:00,1
2019-06-30 06:49:00,1
2019-06-30 06:56:00,1
2019-06-30 07:12:00,1
2019-06-30 07:22:00,1
2019-06-30 07:39:00,1
2019-06-30 07:49:00,1
2019-06-30 08:01:00,1
2019-06-30 08:24:00,1
2019-06-30 08:44:00,1
2019-06-30 08:57:00,1
2019-06-30 09:12:00,1
2019-07-20 04:43:00,1
2019-07-20 05:15:00,1
2019-07-20 05:52:00,1
2019-07-20 08:43:00,1
2019-07-20 11:13:00,1
2019-08-19 19:14:00,1
2019-08-20 08:11:00,1
2019-08-20 08:21:00,1
2019-08-20 08:33:00,1
2019-08-22 00:52:00,1
2019-08-22 02:01:00,1
2019-08-22 04:40:00,1
2019-08-22 04:51:00,1
2019-08-22 05:01:00,1
2019-08-22 05:21:00,1
2019-08-22 05:38:00,1
2019-08-22 09:31:00,1
2019-08-22 09:48:00,1
2019-08-22 10:09:00,1
2019-08-23 07:11:00,1
2019-08-23 07:22:00,1
2019-08-23 07:36:00,1
2019-08-29 03:26:00,1
2019-08-29 03:30:00,1
2019-08-29 03:34:00,1
2019-08-29 03:38:00,1
2019-08-29 03:43:00,1
2019-08-29 03:47:00,1
2019-08-29 03:55:00,1
2019-08-29 04:06:00,1
2019-08-29 04:15:00,1
2019-08-29 04:23:00,1
2019-08-29 04:32:00,1
2019-08-29 04:49:00,1
2019-08-29 04:59:00,1
2019-08-29 05:12:00,1
2019-08-29 05:23:00,1
2019-08-29 05:33:00,1
2019-08-29 05:46:00,1
2019-08-29 06:00:00,1
2019-08-29 06:15:00,1
2019-08-29 06:27:00,1
2019-08-29 06:42:00,1
2019-08-29 07:01:00,1
2019-08-29 07:17:00,1
2019-08-30 08:06:00,1
2019-08-30 08:10:00,1
2019-08-30 08:14:00,1
2019-08-30 08:18:00,1
2019-08-30 08:22:00,1
2019-08-30 08:27:00,1
2019-08-30 08:31:00,1
2019-08-30 08:35:00,1
2019-08-30 08:39:00,1
2019-08-30 08:46:00,1
2019-08-30 08:52:00,1
2019-08-30 09:02:00,1
2019-08-30 09:09:00,1
2019-08-30 09:15:00,1
2019-08-30 09:21:00,1
2019-08-30 09:28:00,1
2019-08-30 09:36:00,1
2019-08-30 09:45:00,1
2019-08-30 09:53:00,1
2019-08-30 10:02:00,1
2019-08-30 10:12:00,1
2019-08-30 10:23:00,1
2019-08-30 10:33:00,1
2019-08-30 10:44:00,1
2019-08-30 10:57:00,1
2019-08-30 11:09:00,1
2019-08-30 11:22:00,1
2019-08-30 11:37:00,1
2019-08-30 11:51:00,1
2019-08-30 12:08:00,1
2019-08-30 12:25:00,1
2019-09-03 08:09:00,1
2019-09-03 08:19:00,1
2019-09-03 08:29:00,1
2019-09-03 08:37:00,1
2019-09-03 08:50:00,1
2019-09-03 09:03:00,1
2019-09-03 09:18:00,1
2019-09-03 09:37:00,1
2019-09-03 09:58:00,1
2019-09-03 10:26:00,1
2019-09-03 11:01:00,1
2019-09-03 11:39:00,1
2019-09-03 12:24:00,1
2019-09-03 13:19:00,1
2019-09-04 07:44:00,1
2019-09-04 07:56:00,1
2019-09-04 08:11:00,1
2019-09-04 08:27:00,1
2019-09-04 08:42:00,1
2019-09-04 08:59:00,1
2019-09-04 09:20:00,1
2019-09-04 09:43:00,1
2019-09-04 10:10:00,1
2019-09-04 10:48:00,1
2019-09-04 11:31:00,1
2019-09-04 12:17:00,1
2019-09-11 07:28:00,1
2019-09-11 07:39:00,1
2019-09-11 07:50:00,1
2019-09-11 08:04:00,1
2019-09-11 08:20:00,1
2019-09-11 08:41:00,1
2019-09-11 09:06:00,1
2019-09-11 09:34:00,1
2019-09-11 10:08:00,1
2019-09-11 10:49:00,1
2019-09-11 11:36:00,1
2019-09-11 12:33:00,1
2019-09-11 13:42:00,1
2019-09-12 07:43:00,1
2019-09-12 07:52:00,1
2019-09-12 08:04:00,1
2019-09-12 08:19:00,1
2019-09-12 08:35:00,1
2019-09-12 08:58:00,1
2019-09-12 09:24:00,1
2019-09-12 09:55:00,1
2019-09-12 10:29:00,1
2019-09-12 11:10:00,1
2019-09-12 12:04:00,1
2019-09-12 13:08:00,1
2019-09-12 14:12:00,1
2019-09-13 07:39:00,1
2019-09-13 07:51:00,1
2019-09-13 08:06:00,1
2019-09-13 08:20:00,1
2019-09-13 08:38:00,1
2019-09-13 08:59:00,1
2019-09-13 09:23:00,1
2019-09-13 09:53:00,1
2019-09-13 10:27:00,1
2019-09-13 11:11:00,1
2019-09-13 12:05:00,1
2019-09-13 13:06:00,1
2019-09-13 14:07:00,1
2019-09-14 07:05:00,1
2019-09-14 07:16:00,1
2019-09-14 07:30:00,1
2019-09-14 07:45:00,1
2019-09-14 08:02:00,1
2019-09-14 08:21:00,1
2019-09-14 08:43:00,1
2019-09-14 09:10:00,1
2019-09-14 09:38:00,1
2019-09-14 10:19:00,1
2019-09-14 11:05:00,1
2019-09-14 11:53:00,1
2019-09-14 12:52:00,1
2019-09-14 13:57:00,1
2019-09-15 07:07:00,1
2019-09-15 07:21:00,1
2019-09-15 07:34:00,1
2019-09-15 07:50:00,1
2019-09-15 08:08:00,1
2019-09-15 08:26:00,1
2019-09-15 08:46:00,1
2019-09-15 09:12:00,1
2019-09-15 09:42:00,1
2019-09-15 10:19:00,1
2019-09-15 11:03:00,1
2019-09-15 11:56:00,1
2019-09-15 13:03:00,1
2019-09-15 14:12:00,1
2019-09-16 07:21:00,1
2019-09-16 07:35:00,1
2019-09-16 07:48:00,1
2019-09-16 08:05:00,1
2019-09-16 08:23:00,1
2019-09-16 08:46:00,1
2019-09-16 09:13:00,1
2019-09-16 09:49:00,1
2019-09-16 10:27:00,1
2019-09-16 11:20:00,1
2019-09-16 12:15:00,1
2019-09-16 13:26:00,1
2019-09-16 14:26:00,1
2019-09-18 10:27:00,1
2019-09-18 10:32:00,1
2019-09-18 10:36:00,1
2019-09-18 10:40:00,1
2019-09-18 10:44:00,1
2019-09-18 10:49:00,1
2019-09-18 10:53:00,1
2019-09-18 10:57:00,1
2019-09-18 11:01:00,1
2019-09-18 11:08:00,1
2019-09-18 11:14:00,1
2019-09-18 11:21:00,1
2019-09-18 11:27:00,1
2019-09-18 11:33:00,1
2019-09-18 11:42:00,1
2019-09-18 11:50:00,1
2019-09-18 11:59:00,1
2019-09-18 12:08:00,1
2019-09-18 12:18:00,1
2019-09-18 12:29:00,1
2019-09-18 12:39:00,1
2019-09-19 07:17:00,1
2019-09-19 07:27:00,1
2019-09-19 07:38:00,1
2019-09-19 07:53:00,1
2019-09-19 08:10:00,1
2019-09-19 08:32:00,1
2019-09-19 08:57:00,1
2019-09-19 09:27:00,1
2019-09-19 10:03:00,1
2019-09-19 10:47:00,1
2019-09-19 11:43:00,1
2019-09-19 12:49:00,1
2019-09-19 14:05:00,1
2019-09-20 08:23:00,1
2019-09-20 08:40:00,1
2019-09-20 09:02:00,1
2019-09-20 09:27:00,1
2019-09-20 09:58:00,1
2019-09-20 10:37:00,1
2019-09-20 11:26:00,1
2019-09-20 12:26:00,1
2019-09-20 13:38:00,1
2019-09-24 06:53:00,1
2019-09-24 07:03:00,1
2019-09-24 07:14:00,1
2019-09-24 07:27:00,1
2019-09-24 07:41:00,1
2019-09-24 08:00:00,1
2019-09-24 08:22:00,1
2019-09-24 08:50:00,1
2019-09-24 09:24:00,1
2019-09-24 10:04:00,1
2019-09-24 10:51:00,1
2019-09-24 11:51:00,1
2019-09-24 13:06:00,1
2019-09-24 14:28:00,1
2019-09-27 07:08:00,1
2019-09-27 07:23:00,1
2019-09-27 07:41:00,1
2019-09-27 08:01:00,1
2019-09-27 08:26:00,1
2019-09-27 08:56:00,1
2019-09-27 09:32:00,1
2019-09-27 10:13:00,1
2019-09-27 11:09:00,1
2019-09-27 12:14:00,1
2019-09-27 13:37:00,1
2019-09-27 15:04:00,1
2019-09-28 06:17:00,1
2019-09-28 06:29:00,1
2019-09-28 06:43:00,1
2019-09-28 06:59:00,1
2019-09-28 07:17:00,1
2019-09-28 07:38:00,1
2019-09-28 08:04:00,1
2019-09-28 08:36:00,1
2019-09-28 09:18:00,1
2019-09-28 10:07:00,1
2019-09-28 11:06:00,1
2019-09-28 12:23:00,1
2019-09-28 13:58:00,1
2019-09-28 15:39:00,1
2019-09-29 06:06:00,1
2019-09-29 06:17:00,1
2019-09-29 06:28:00,1
2019-09-29 06:41:00,1
2019-09-29 06:56:00,1
2019-09-29 07:16:00,1
2019-09-29 07:37:00,1
2019-09-29 07:59:00,1
2019-09-29 08:26:00,1
2019-09-29 09:00:00,1
2019-09-29 09:41:00,1
2019-09-29 10:29:00,1
2019-09-29 11:26:00,1
2019-09-29 12:44:00,1
2019-09-29 14:11:00,1
2019-09-30 06:13:00,1
2019-09-30 06:24:00,1
2019-09-30 06:37:00,1
2019-09-30 06:49:00,1
2019-09-30 07:02:00,1
2019-09-30 07:19:00,1
2019-09-30 07:40:00,1
2019-09-30 08:06:00,1
2019-09-30 08:37:00,1
2019-09-30 09:13:00,1
2019-09-30 09:57:00,1
2019-09-30 10:51:00,1
2019-09-30 12:01:00,1
2019-09-30 13:27:00,1
2019-09-30 15:01:00,1
2019-10-01 12:19:00,1
2019-10-01 12:28:00,1
2019-10-01 12:41:00,1
2019-10-02 06:03:00,1
2019-10-02 06:12:00,1
2019-10-02 06:25:00,1
2019-10-02 06:40:00,1
2019-10-02 06:57:00,1
2019-10-02 07:16:00,1
2019-10-02 07:37:00,1
2019-10-02 08:01:00,1
2019-10-02 08:29:00,1
2019-10-02 09:08:00,1
2019-10-02 09:50:00,1
2019-10-02 11:04:00,1
2019-10-02 12:12:00,1
2019-10-02 13:38:00,1
2019-10-03 05:59:00,1
2019-10-03 06:10:00,1
2019-10-03 06:24:00,1
2019-10-03 06:40:00,1
2019-10-03 07:03:00,1
2019-10-03 07:20:00,1
2019-10-03 07:45:00,1
2019-10-03 08:12:00,1
2019-10-03 08:44:00,1
2019-10-03 09:26:00,1
2019-10-03 10:14:00,1
2019-10-03 11:08:00,1
2019-10-03 12:08:00,1
2019-10-03 13:22:00,1
2019-10-08 05:30:00,1
2019-10-08 05:41:00,1
2019-10-08 05:55:00,1
2019-10-08 06:12:00,1
2019-10-08 06:30:00,1
2019-10-08 06:50:00,1
2019-10-08 07:20:00,1
2019-10-08 07:52:00,1
2019-10-08 08:30:00,1
2019-10-08 09:16:00,1
2019-10-08 10:07:00,1
2019-10-08 11:05:00,1
2019-10-08 12:15:00,1
2019-10-08 13:53:00,1
2019-10-08 15:39:00,1
2019-10-09 05:26:00,1
2019-10-09 05:39:00,1
2019-10-09 05:54:00,1
2019-10-09 06:13:00,1
2019-10-09 06:31:00,1
2019-10-09 06:48:00,1
2019-10-09 07:09:00,1
2019-10-09 07:32:00,1
2019-10-09 07:59:00,1
2019-10-09 08:34:00,1
2019-10-09 09:14:00,1
2019-10-09 10:05:00,1
2019-10-09 11:09:00,1
2019-10-09 12:25:00,1
2019-10-09 14:11:00,1
2019-10-09 16:00:00,1
2019-10-11 05:33:00,1
2019-10-11 05:46:00,1
2019-10-11 06:02:00,1
2019-10-11 06:23:00,1
2019-10-11 06:42:00,1
2019-10-11 07:09:00,1
2019-10-11 07:45:00,1
2019-10-11 08:12:00,1
2019-10-11 08:36:00,1
2019-10-11 09:22:00,1
2019-10-11 10:14:00,1
2019-10-11 11:13:00,1
2019-10-11 12:28:00,1
2019-10-11 14:02:00,1
2019-10-16 04:42:00,1
2019-10-16 04:54:00,1
2019-10-16 05:08:00,1
2019-10-16 05:26:00,1
2019-10-16 05:49:00,1
2019-10-16 06:16:00,1
2019-10-16 06:48:00,1
2019-10-16 07:27:00,1
2019-10-16 16:21:00,1
2019-10-17 03:04:00,1
2019-10-17 03:08:00,1
2019-10-17 03:12:00,1
2019-10-17 03:16:00,1
2019-10-17 03:21:00,1
2019-10-17 03:25:00,1
2019-10-17 03:29:00,1
2019-10-17 03:33:00,1
2019-10-17 03:40:00,1
2019-10-17 03:46:00,1
2019-10-17 03:53:00,1
2019-10-17 03:59:00,1
2019-10-17 04:05:00,1
2019-10-17 04:12:00,1
2019-10-17 04:20:00,1
2019-10-17 04:28:00,1
2019-10-17 04:37:00,1
2019-10-17 04:45:00,1
2019-10-17 04:56:00,1
2019-10-17 05:06:00,1
2019-10-17 05:17:00,1
2019-10-18 03:05:00,1
2019-10-18 03:09:00,1
2019-10-18 03:11:00,1
2019-10-18 03:15:00,1
2019-10-18 03:19:00,1
2019-10-18 03:21:00,1
2019-10-18 03:25:00,1
2019-10-18 03:29:00,1
2019-10-18 03:33:00,1
2019-10-18 03:37:00,1
2019-10-18 03:41:00,1
2019-10-18 03:46:00,1
2019-10-18 03:49:00,1
2019-10-18 03:54:00,1
2019-10-18 03:58:00,1
2019-10-18 04:02:00,1
2019-10-18 04:06:00,1
2019-10-18 04:10:00,1
2019-10-18 04:14:00,1
2019-10-18 04:18:00,1
2019-10-18 04:23:00,1
2019-10-18 04:27:00,1
2019-10-18 04:31:00,1
2019-10-18 04:35:00,1
2019-10-18 04:39:00,1
2019-10-18 04:47:00,1
2019-10-18 04:51:00,1
2019-10-18 04:55:00,1
2019-10-18 05:01:00,1
2019-10-18 05:07:00,1
2019-10-18 05:14:00,1
2019-10-18 05:20:00,1
2019-10-18 05:26:00,1
2019-10-18 05:33:00,1
2019-10-18 05:39:00,1
2019-10-18 05:47:00,1
2019-10-18 05:55:00,1
2019-10-18 06:01:00,1
2019-10-18 06:09:00,1
2019-10-18 06:18:00,1
2019-10-18 06:26:00,1
2019-10-18 06:34:00,1
2019-10-18 06:43:00,1
2019-10-18 06:51:00,1
2019-10-18 06:59:00,1
2019-10-18 07:07:00,1
2019-10-18 07:15:00,1
2019-10-18 07:23:00,1
2019-10-18 07:34:00,1
2019-10-18 07:44:00,1
2019-10-18 07:54:00,1
2019-10-18 08:04:00,1
2019-10-18 08:14:00,1
2019-10-18 08:24:00,1
2019-10-18 08:34:00,1
2019-10-18 08:44:00,1
2019-10-18 08:54:00,1
2019-10-18 09:05:00,1
2019-10-18 09:15:00,1
2019-10-18 09:25:00,1
2019-10-18 09:35:00,1
2019-10-18 09:48:00,1
2019-10-18 10:01:00,1
2019-10-18 10:13:00,1
2019-10-18 10:26:00,1
2019-10-18 10:41:00,1
2019-10-18 10:55:00,1
2019-10-18 11:12:00,1
2019-10-18 11:29:00,1
2019-10-18 11:47:00,1
2019-10-18 12:05:00,1
2019-10-18 12:24:00,1
2019-10-18 12:45:00,1
2019-10-18 13:05:00,1
2019-10-18 14:00:00,1
2019-10-18 16:17:00,1
2019-10-26 11:08:00,1
2019-10-26 11:25:00,1
2019-10-26 11:44:00,1
2019-10-26 12:05:00,1
2019-10-26 12:33:00,1
2019-10-26 13:07:00,1
2019-10-26 13:42:00,1
2019-11-02 02:26:00,1
2019-11-02 02:29:00,1
2019-11-02 02:33:00,1
2019-11-02 02:35:00,1
2019-11-02 02:37:00,1
2019-11-02 02:39:00,1
2019-11-03 02:08:00,1
2019-11-03 02:12:00,1
2019-11-03 02:16:00,1
2019-11-03 02:20:00,1
2019-11-03 02:25:00,1
2019-11-03 02:29:00,1
2019-11-07 02:16:00,1
2019-11-07 02:20:00,1
2019-11-07 02:24:00,1
2019-11-07 02:28:00,1
2019-11-07 02:33:00,1
2019-11-07 02:37:00,1
2019-11-07 02:41:00,1
2019-11-07 02:46:00,1
2019-11-07 02:52:00,1
2019-11-07 02:59:00,1
2019-11-07 03:05:00,1
2019-11-07 03:11:00,1
2019-11-07 03:18:00,1
2019-11-07 03:26:00,1
2019-11-07 15:40:00,1
2019-11-23 12:55:00,1
2019-11-23 12:57:00,1
2019-11-23 13:01:00,1
2019-11-23 13:05:00,1
2019-11-23 13:09:00,1
2019-11-24 12:49:00,1
2019-11-24 12:54:00,1
2019-11-24 12:57:00,1
2019-11-24 13:02:00,1
2019-11-24 13:10:00,1
2019-12-13 12:55:00,1
2019-12-13 12:58:00,1
2019-12-13 13:02:00,1
2019-12-13 13:07:00,1
2019-12-13 13:11:00,1
2019-12-13 13:15:00,1
2019-12-13 13:19:00,1
2019-12-13 13:23:00,1
2019-12-14 12:46:00,1
2019-12-14 12:50:00,1
2019-12-14 12:54:00,1
2019-12-14 12:59:00,1
2019-12-14 13:02:00,1
2019-12-14 13:07:00,1
2019-12-14 13:11:00,1
2019-12-14 13:15:00,1
2019-12-14 13:19:00,1
2019-12-14 13:26:00,1
