47,"SELECT TOP # cast (str (p.ra, #, #) as float) as ra, cast (str (p.[dec], #, #) as float) as dec, p.dered_g, p.dered_i, p.dered_r, p.dered_u, p.dered_z FROM ..PhotoObj AS p JOIN dbo.fGetNearbyObjEq (#, #, #) AS b ON b.objID = P.objID WHERE (p.type = #)"
2019-05-16 10:26:00,1
2019-05-16 10:27:00,1
2019-05-16 10:59:00,1
2019-05-16 11:27:00,1
2019-05-16 11:49:00,1
2019-05-16 11:50:00,2
2019-05-16 13:50:00,1
2019-05-16 13:51:00,2
2019-05-16 14:07:00,1
2019-05-16 14:33:00,2
2019-05-16 14:36:00,1
2019-05-16 14:54:00,1
2019-05-16 15:04:00,1
2019-05-16 15:22:00,1
2019-05-16 15:37:00,1
2019-05-17 11:16:00,1
2019-05-17 11:18:00,1
2019-05-17 11:20:00,1
2019-05-17 11:36:00,1
2019-05-17 11:39:00,2
2019-05-23 12:57:00,1
2019-05-23 13:03:00,1
2019-05-23 13:38:00,1
2019-05-24 14:27:00,1
2019-05-24 14:45:00,1
2019-05-24 14:55:00,2
2019-05-24 15:28:00,1
2019-05-24 15:32:00,1
2019-05-24 15:43:00,1
2019-05-29 12:31:00,1
2019-05-29 12:34:00,1
2019-05-29 12:37:00,1
2019-05-29 12:42:00,1
2019-05-29 12:49:00,1
2019-05-29 13:08:00,1
2019-05-29 13:16:00,1
2019-05-29 14:24:00,1
2019-05-29 14:33:00,1
2019-05-29 15:46:00,1
2019-05-29 16:02:00,1
2019-05-29 16:06:00,2
