10,"select p.stable_id , cam.attr_id, cp.attr_value from cancer_study cs inner join clinical_attribute_meta cam on cam.cancer_study_id = cs.cancer_study_id and cam.patient_attribute = # inner join patient p on p.cancer_study_id = cs.cancer_study_id left outer join clinical_patient cp on cp.internal_id = p.internal_id and cp.attr_id = cam.attr_id where cs.cancer_study_identifier = # union all select p.stable_id , cam.attr_id, cls.attr_value from cancer_study cs inner join clinical_attribute_meta cam on cam.cancer_study_id = cs.cancer_study_id and cam.patient_attribute = # inner join patient p on p.cancer_study_id = cs.cancer_study_id left outer join sample s on s.patient_id = p.internal_id left outer join clinical_sample cls on s.internal_id = cls.internal_id and cls.attr_id = cam.attr_id where cs.cancer_study_identifier = #"
2019-04-21 08:27:00,1
2019-04-21 08:29:00,1
2019-04-21 09:49:00,1
2019-04-21 10:41:00,1
2019-04-21 10:44:00,1
2019-04-21 10:45:00,1
2019-04-21 13:30:00,1
2019-05-06 14:43:00,1
2019-05-06 17:25:00,1
2019-05-07 18:44:00,1
