22,"select top # p.objid, p.ra, p.dec, p.g, s.z as redshift from galaxy p, specobj s, dbo.fgetNearByObjEq (#, #, #) n where p.objid = s.bestobjid and p.objid = n.objid and s.bestobjid = n.objid and s.z BETWEEN # AND # order by p.g"
2019-03-11 02:12:00,1
2019-03-11 02:28:00,1
2019-03-11 02:32:00,1
2019-03-11 02:43:00,1
2019-03-11 02:44:00,1
2019-03-11 02:45:00,1
2019-03-11 02:46:00,1
2019-03-11 02:47:00,1
2019-03-11 02:48:00,1
2019-03-11 02:49:00,3
2019-03-11 02:50:00,1
2019-03-11 02:51:00,1
2019-03-13 21:59:00,1
2019-03-14 04:46:00,1
2019-03-14 04:48:00,1
2019-03-14 04:50:00,1
2019-03-14 04:54:00,1
2019-03-14 04:55:00,1
2019-03-14 04:57:00,1
2019-03-14 04:58:00,1
