71,"SELECT p.objid, p.psfMag_u AS u, p.psfMagErr_u as u_err, p.psfMag_g AS g, p.psfMagErr_g as g_err, p.dered_r AS r, p.psfMagErr_r as r_err, p.dered_i AS i, p.psfMagErr_i as i_err, p.dered_z AS z, p.psfMagErr_z as z_err, p.b AS b, p.l as l FROM photoObj p JOIN dbo.fGetNearbyObjEq (#, #, #) n ON p.objid = n.objID WHERE p.type = # AND p.psfMag_g BETWEEN # AND # AND p.psfMag_u/p.psfMagerr_u > # AND p.psfMag_g/p.psfMagerr_g > # AND p.psfMag_r/p.psfMagerr_r > # AND p.psfMag_i/p.psfMagerr_i > # AND p.psfMag_z/p.psfMagerr_z > #"
2019-05-06 14:53:00,1
2019-05-06 14:58:00,2
2019-05-06 15:03:00,1
2019-05-06 15:06:00,1
2019-05-06 15:18:00,5
2019-05-06 15:22:00,2
2019-05-06 15:24:00,1
2019-05-06 15:25:00,2
2019-05-06 15:27:00,1
2019-05-06 17:23:00,5
2019-08-25 19:03:00,1
2019-08-29 13:44:00,6
2019-09-01 11:20:00,1
2019-09-04 19:55:00,5
2019-09-04 20:04:00,1
2019-09-05 13:32:00,1
2019-09-05 13:35:00,2
2019-09-08 19:50:00,1
2019-09-10 12:51:00,1
2019-09-10 12:53:00,1
2019-09-10 12:55:00,1
2019-09-19 10:24:00,1
2019-09-19 10:27:00,1
2019-09-22 16:11:00,1
2019-09-22 16:13:00,1
2019-09-22 17:29:00,1
2019-09-26 11:03:00,1
2019-09-26 11:04:00,1
2019-10-03 11:43:00,1
2019-10-09 19:00:00,1
2019-10-17 12:07:00,7
2019-10-17 12:10:00,1
2019-10-23 14:39:00,1
2019-10-23 14:45:00,1
2019-10-30 17:16:00,1
2019-10-31 14:25:00,1
2019-11-03 15:57:00,1
2019-11-04 15:41:00,1
2019-11-05 11:56:00,1
2019-11-05 18:24:00,1
2019-11-05 18:59:00,1
2019-11-05 19:04:00,1
2019-11-06 14:54:00,1
2019-11-14 13:19:00,1
