15,"select time, sum (#) over (order by time rows between unbounded preceding and current row) as cumsum from messages as m join AuthenticationMessages as c on c.row_id = m.row_id where task_name like #"
2019-01-05 16:24:00,1
2019-01-05 16:31:00,1
2019-09-30 10:15:00,1
2019-09-30 10:47:00,1
2019-11-22 17:09:00,1
2019-11-22 17:11:00,1
2019-11-22 17:27:00,1
2019-11-22 18:05:00,1
2019-11-22 18:06:00,1
2019-11-22 18:07:00,1
2019-11-22 18:10:00,1
2019-11-22 18:11:00,1
2019-11-22 18:12:00,1
2019-11-24 17:26:00,2
