22,"SELECT EID, [Country_of_birth_UK_elsewhere__#], [Breastfed_as_a_baby_#], [Comparative_body_size_at_age_#_#], [Comparative_height_size_at_age_#_#], [Handedness_chirality_laterality__#], [Adopted_as_a_child_#], [Part_of_a_multiple_birth_#], [Maternal_smoking_around_birth_#] FROM Early_life_factors GO"
2019-04-15 13:25:00,1
2019-04-15 13:34:00,1
2019-04-16 08:56:00,1
2019-04-16 08:58:00,1
2019-04-16 10:12:00,1
2019-04-16 10:14:00,1
2019-04-16 10:17:00,1
2019-04-16 10:34:00,1
2019-04-16 10:35:00,1
2019-04-17 11:27:00,1
2019-04-23 09:44:00,1
2019-04-23 10:47:00,1
2019-04-23 10:51:00,1
2019-04-24 09:48:00,1
2019-04-24 09:54:00,1
2019-04-24 13:19:00,1
2019-04-29 11:38:00,1
2019-04-30 11:43:00,1
2019-04-30 15:37:00,1
2019-05-01 09:25:00,1
2019-05-02 09:32:00,1
2019-05-02 10:34:00,1
