21,"SELECT TOP # s.plate, s.mjd, s.fiberid FROM BESTDR8..SpecObj as s JOIN dbo.fGetNearbySpecObjEq (#, #, #) AS b ON b.SpecobjID = S.SpecobjID WHERE s.zWarning = #"
2019-02-17 04:42:00,1
2019-02-21 07:04:00,1
2019-03-11 15:34:00,1
2019-03-11 15:36:00,3
2019-03-11 15:37:00,2
2019-04-15 20:55:00,1
2019-04-22 10:13:00,1
2019-04-23 00:32:00,1
2019-06-23 06:06:00,1
2019-06-23 06:07:00,1
2019-07-09 10:36:00,1
2019-07-09 12:37:00,1
2019-08-15 05:13:00,1
2019-09-19 14:57:00,1
2019-10-06 07:45:00,1
2019-10-22 20:51:00,1
2019-10-22 21:43:00,1
2019-10-22 21:44:00,1
