24,"select CANCER_STUDY_IDENTIFIER as cancer_study_id, name, description from cancer_study order by name"
2019-04-14 15:55:00,1
2019-04-20 12:06:00,1
2019-04-20 12:15:00,1
2019-04-21 09:47:00,1
2019-04-21 13:26:00,1
2019-04-23 08:47:00,1
2019-04-24 12:14:00,1
2019-04-29 14:01:00,1
2019-04-29 14:54:00,1
2019-04-30 13:35:00,1
2019-04-30 13:46:00,1
2019-04-30 15:10:00,1
2019-04-30 16:04:00,1
2019-05-03 16:51:00,1
2019-05-06 12:08:00,1
2019-05-06 12:09:00,1
2019-05-06 12:10:00,1
2019-05-06 14:11:00,2
2019-05-06 14:12:00,1
2019-05-06 14:17:00,1
2019-05-07 18:26:00,1
2019-05-08 09:00:00,2
