78,"select top # p.objid, p.ra, p.dec, p.g, s.z as redshift from galaxy p, specobj s, dbo.fgetNearByObjEq (#, #, #) n where p.objid = s.bestobjid and p.objid = n.objid and s.bestobjid = n.objid and (p.g BETWEEN # AND #) and s.z BETWEEN # AND # order by p.g"
2019-01-26 20:07:00,1
2019-01-26 20:09:00,1
2019-03-10 22:31:00,2
2019-03-11 04:27:00,1
2019-03-11 04:53:00,1
2019-03-11 16:59:00,1
2019-03-12 02:28:00,1
2019-03-12 02:37:00,1
2019-03-12 02:51:00,1
2019-03-12 02:56:00,1
2019-03-12 03:01:00,1
2019-03-12 03:02:00,2
2019-03-12 03:04:00,1
2019-03-12 03:06:00,1
2019-03-12 03:25:00,1
2019-03-12 03:26:00,1
2019-03-12 03:28:00,1
2019-03-12 04:21:00,1
2019-03-12 04:30:00,1
2019-03-12 04:31:00,1
2019-03-12 04:34:00,1
2019-03-12 04:35:00,1
2019-03-12 04:38:00,1
2019-03-12 04:39:00,1
2019-03-12 04:43:00,1
2019-03-12 04:44:00,1
2019-03-12 04:46:00,1
2019-03-12 04:47:00,1
2019-03-12 07:17:00,1
2019-03-12 07:18:00,1
2019-03-12 07:33:00,1
2019-03-12 17:34:00,1
2019-03-12 17:41:00,2
2019-03-12 20:59:00,1
2019-03-14 01:22:00,1
2019-03-14 01:33:00,1
2019-03-14 01:34:00,1
2019-03-14 01:37:00,1
2019-03-14 01:46:00,1
2019-03-14 01:52:00,1
2019-03-14 01:54:00,2
2019-03-14 01:56:00,1
2019-03-14 01:58:00,2
2019-03-14 02:02:00,1
2019-03-14 02:06:00,1
2019-03-14 04:57:00,1
2019-03-14 05:08:00,1
2019-03-14 05:10:00,1
2019-03-14 05:11:00,1
2019-03-14 05:14:00,1
2019-03-14 05:18:00,1
2019-03-14 05:20:00,1
2019-03-14 05:22:00,1
2019-03-14 05:24:00,1
2019-03-14 19:53:00,1
2019-06-30 22:27:00,1
2019-07-01 01:45:00,1
2019-07-01 02:03:00,1
2019-07-01 02:04:00,1
2019-07-01 02:36:00,1
2019-07-01 02:37:00,1
2019-07-01 02:39:00,1
2019-07-01 02:44:00,1
2019-07-01 02:50:00,1
2019-07-01 02:55:00,1
2019-07-01 02:57:00,1
2019-07-01 02:59:00,1
2019-07-01 03:00:00,1
2019-07-01 03:08:00,1
2019-07-01 03:12:00,1
2019-07-01 03:57:00,1
2019-07-01 12:09:00,1
2019-12-18 07:06:00,1
