26,"select top # p.ra, p.dec, p.deVRad_r, q.z from galaxy p, dbo.fgetnearByObjEq (#, #, #) n, galSpecInfo q where p.objid = n.objid and p.specObjID = q.specObjID and p.specObjID< ># and q.z> # and abs (#* (#-q.z) )< #"
2019-02-20 13:05:00,2
2019-02-20 13:07:00,1
2019-02-20 13:08:00,1
2019-02-20 13:09:00,1
2019-02-20 13:11:00,1
2019-02-20 13:12:00,1
2019-02-20 13:13:00,1
2019-02-28 11:54:00,1
2019-02-28 12:19:00,1
2019-02-28 12:20:00,1
2019-02-28 12:26:00,1
2019-02-28 13:04:00,2
2019-02-28 13:06:00,1
2019-02-28 13:07:00,1
2019-03-03 19:56:00,1
2019-03-03 19:57:00,1
2019-03-03 20:16:00,1
2019-03-03 20:34:00,1
2019-03-03 20:36:00,1
2019-03-03 20:38:00,1
2019-03-03 20:39:00,1
2019-07-01 21:45:00,1
2019-07-01 21:55:00,1
2019-07-01 21:56:00,1
