59,"SELECT count (*) as #, sum (case when (Type = #) then # else # end) as #, sum (case when (Type = #) then # else # end) as #, sum (case when (Type not IN () ) then # else # end) as # FROM PhotoPrimary WHERE (l between # and #) and (b between # and #)"
2019-03-04 13:12:00,1
2019-03-04 13:14:00,2
2019-03-04 13:21:00,1
2019-03-04 13:32:00,1
2019-03-04 13:33:00,1
2019-03-04 13:36:00,1
2019-03-04 13:37:00,1
2019-03-04 13:43:00,1
2019-03-04 13:46:00,1
2019-03-04 13:48:00,3
2019-03-04 13:51:00,1
2019-03-04 13:54:00,1
2019-03-04 14:13:00,1
2019-03-04 17:50:00,1
2019-03-06 17:11:00,1
2019-03-07 13:53:00,1
2019-03-07 14:00:00,2
2019-03-07 14:02:00,1
2019-03-07 14:04:00,2
2019-03-07 14:05:00,3
2019-03-07 14:08:00,2
2019-03-07 14:09:00,2
2019-03-07 14:10:00,2
2019-03-07 14:11:00,6
2019-03-07 14:12:00,4
2019-03-07 14:13:00,2
2019-03-07 14:14:00,4
2019-04-03 13:08:00,1
2019-04-03 13:10:00,1
2019-04-03 13:11:00,1
2019-04-03 13:15:00,1
2019-04-03 13:18:00,1
2019-04-03 13:20:00,1
2019-04-03 13:30:00,1
2019-04-03 14:10:00,1
2019-04-03 14:13:00,1
2019-04-03 14:15:00,1
