407,"select PROPERMOTION, MURAERR, MUDECERR, ANGLE from USNO where OBJID = #"
2019-04-11 14:47:00,1
2019-04-11 14:48:00,2
2019-04-11 14:50:00,1
2019-04-11 14:57:00,2
2019-04-11 14:58:00,1
2019-04-11 15:04:00,4
2019-04-12 15:14:00,1
2019-04-12 15:32:00,2
2019-04-12 15:43:00,2
2019-04-12 15:53:00,2
2019-04-12 15:57:00,2
2019-04-12 15:59:00,1
2019-04-12 16:01:00,1
2019-04-12 16:03:00,2
2019-04-12 16:07:00,5
2019-04-12 16:10:00,2
2019-04-12 16:16:00,1
2019-04-12 16:17:00,1
2019-04-12 16:20:00,1
2019-04-12 16:27:00,1
2019-04-12 16:31:00,1
2019-04-12 16:38:00,1
2019-04-12 16:40:00,1
2019-04-15 15:01:00,1
2019-04-18 13:08:00,1
2019-04-18 13:09:00,1
2019-04-18 13:13:00,1
2019-04-18 13:33:00,1
2019-04-18 13:53:00,1
2019-04-18 13:56:00,3
2019-04-18 14:00:00,1
2019-04-18 14:07:00,1
2019-04-18 14:09:00,2
2019-04-18 14:10:00,2
2019-04-18 14:19:00,2
2019-04-18 14:21:00,1
2019-04-18 14:24:00,1
2019-04-18 14:39:00,1
2019-04-18 14:40:00,1
2019-04-18 14:50:00,1
2019-04-18 14:52:00,1
2019-04-18 14:53:00,1
2019-04-18 14:55:00,1
2019-04-18 14:56:00,1
2019-04-18 14:57:00,1
2019-04-18 14:59:00,1
2019-04-18 15:00:00,1
2019-04-18 15:05:00,1
2019-04-18 15:06:00,1
2019-04-18 15:08:00,1
2019-04-18 15:12:00,1
2019-04-18 15:19:00,1
2019-04-18 15:20:00,2
2019-04-18 15:23:00,1
2019-04-18 15:25:00,1
2019-04-18 15:31:00,1
2019-04-18 15:33:00,1
2019-04-18 15:39:00,1
2019-04-18 15:40:00,1
2019-04-18 15:45:00,1
2019-04-18 15:46:00,1
2019-04-18 15:47:00,1
2019-04-18 15:50:00,1
2019-04-18 15:53:00,1
2019-04-18 15:55:00,1
2019-04-18 16:01:00,1
2019-04-19 15:16:00,1
2019-04-19 15:17:00,1
2019-04-19 15:25:00,1
2019-04-19 15:29:00,1
2019-04-19 15:57:00,1
2019-04-19 15:59:00,1
2019-04-19 16:00:00,1
2019-04-19 16:03:00,2
2019-04-19 16:07:00,2
2019-04-19 16:09:00,2
2019-04-19 16:14:00,2
2019-04-19 16:18:00,2
2019-04-19 16:19:00,3
2019-04-19 16:33:00,1
2019-04-19 16:34:00,1
2019-04-19 16:38:00,2
2019-04-19 16:42:00,1
2019-04-19 16:43:00,1
2019-04-19 16:50:00,2
2019-04-19 16:53:00,3
2019-04-19 16:55:00,3
2019-04-19 16:56:00,1
2019-04-22 14:39:00,3
2019-04-22 14:40:00,1
2019-04-22 14:41:00,1
2019-04-22 14:42:00,1
2019-04-22 14:49:00,3
2019-04-22 14:50:00,1
2019-04-25 12:44:00,1
2019-04-25 13:01:00,2
2019-04-25 13:04:00,1
2019-04-25 13:35:00,1
2019-04-25 13:39:00,1
2019-04-25 13:42:00,1
2019-04-25 13:44:00,1
2019-04-25 13:45:00,1
2019-04-25 13:48:00,2
2019-04-25 13:49:00,1
2019-04-25 13:52:00,1
2019-04-25 13:53:00,1
2019-04-25 14:25:00,2
2019-04-25 14:38:00,2
2019-04-25 14:41:00,6
2019-04-25 14:42:00,5
2019-04-25 15:07:00,1
2019-04-26 15:11:00,1
2019-04-26 15:14:00,1
2019-04-26 15:23:00,1
2019-04-26 15:25:00,1
2019-04-26 15:28:00,1
2019-04-26 15:31:00,1
2019-04-26 15:54:00,1
2019-04-26 15:59:00,1
2019-04-26 16:00:00,1
2019-04-26 16:18:00,2
2019-04-26 16:23:00,2
2019-04-26 16:24:00,5
2019-04-26 16:28:00,2
2019-04-26 16:32:00,2
2019-04-26 16:38:00,1
2019-04-26 16:42:00,2
2019-04-26 16:43:00,3
2019-04-26 16:47:00,3
2019-04-29 14:39:00,1
2019-05-02 14:09:00,1
2019-05-02 14:25:00,1
2019-05-02 14:49:00,1
2019-05-02 14:50:00,4
2019-05-02 14:51:00,4
2019-05-02 14:52:00,1
2019-05-02 15:14:00,1
2019-05-02 15:23:00,1
2019-05-02 15:24:00,1
2019-05-02 15:27:00,1
2019-05-02 17:24:00,3
2019-05-02 17:27:00,2
2019-05-02 17:31:00,4
2019-05-02 17:32:00,3
2019-05-02 17:36:00,5
2019-05-02 17:37:00,9
2019-05-02 17:40:00,2
2019-05-02 17:41:00,4
2019-05-02 17:46:00,2
2019-05-02 17:50:00,4
2019-05-02 17:52:00,5
2019-05-02 17:54:00,6
2019-05-03 15:02:00,1
2019-05-03 15:04:00,1
2019-07-26 11:49:00,1
2019-07-26 11:50:00,5
2019-07-26 11:51:00,2
