31,"SELECT count(*) as &&&,     sum( case when (Type=#) then # else # end) as &&&,     sum( case when (Type=#) then # else # end) as &&&,     sum( case when (Type not in (#,#)) then # else # end) as &&& FROM PhotoPrimary  WHERE (l between # and #) and (b between # and #)"
2019-03-07 13:53:00,1
2019-03-07 14:00:00,2
2019-03-07 14:02:00,1
2019-03-07 14:04:00,2
2019-03-07 14:05:00,3
2019-03-07 14:08:00,2
2019-03-07 14:09:00,2
2019-03-07 14:10:00,2
2019-03-07 14:11:00,6
2019-03-07 14:12:00,4
2019-03-07 14:13:00,2
2019-03-07 14:14:00,4
