18,"select count(*), stim_timestamps.timestamp from session_eeg, stim_timestamps              where session_eeg.session_ID = # and stim_timestamps.session_ID = # and session_eeg.timestamp < stim_timestamps.timestamp              group by stim_timestamps.timestamp             )              select stim_timestamps_index.index_value, stim_timestamps.stim_ID from stim_timestamps_index, stim_timestamps              where stim_timestamps.session_ID = # and stim_timestamps.timestamp = stim_timestamps_index.timestamp             order by stim_timestamps_index.index_value"
2019-03-05 13:46:00,2
2019-03-05 13:47:00,2
2019-03-05 13:48:00,3
2019-03-05 13:49:00,2
2019-03-05 13:50:00,1
2019-03-05 13:51:00,2
2019-03-05 13:52:00,2
2019-03-05 13:53:00,1
2019-03-05 13:54:00,1
2019-03-05 13:55:00,1
2019-03-05 13:58:00,1
