27,"SELECT count(*) as &&&,     sum( case when (Type=#) then # else # end) as &&&,     sum( case when (Type=#) then # else # end) as &&&,     sum( case when (Type not in (#,#)) then # else # end) as &&& FROM PhotoPrimary  WHERE (b between # and #)"
2019-03-05 11:15:00,1
2019-03-05 16:35:00,1
2019-03-05 17:05:00,1
2019-03-05 17:11:00,1
2019-03-05 17:12:00,1
2019-03-05 17:14:00,5
2019-03-05 17:17:00,5
2019-03-05 17:25:00,1
2019-03-05 17:29:00,1
2019-03-05 17:30:00,1
2019-03-05 17:32:00,3
2019-03-05 17:33:00,1
2019-03-05 17:34:00,4
2019-03-05 17:35:00,1
