13,"SELECT first.plate, other.plate,   COUNT(DISTINCT other.mjd) + COUNT(DISTINCT first.mjd) AS nightsObserved,   otherPlate.programname, count(DISTINCT other.bestObjID) AS objects  FROM SpecObjAll first  JOIN SpecObjAll other ON first.bestObjID = other.bestObjID  JOIN PlateX AS firstPlate ON firstPlate.plate = first.plate  JOIN PlateX AS otherPlate ON otherPlate.plate = other.plate  WHERE first.scienceprimary = # AND other.scienceprimary = #   AND other.bestObjID > #  GROUP BY first.plate, other.plate, otherPlate.programname  ORDER BY nightsObserved DESC, otherPlate.programname,   first.plate, other.plate"
2019-11-16 04:59:00,1
2019-11-16 05:01:00,1
2019-11-16 05:04:00,1
2019-11-16 05:09:00,1
2019-11-16 05:18:00,1
2019-11-16 05:19:00,1
2019-11-16 05:21:00,1
2019-11-16 05:24:00,1
2019-11-16 05:29:00,1
2019-11-16 05:35:00,1
2019-11-16 05:38:00,1
2019-11-16 05:55:00,1
2019-11-16 12:56:00,1
