12,"SELECT first.plate, other.plate,   COUNT(DISTINCT other.mjd) + COUNT(DISTINCT first.mjd) AS nightsObserved,   otherPlate.programname, count(DISTINCT other.bestObjID) AS objects  FROM SpecObjAll first  JOIN SpecObjAll other ON first.bestObjID = other.bestObjID  JOIN PlateX AS firstPlate ON firstPlate.plate = first.plate  JOIN PlateX AS otherPlate ON otherPlate.plate = other.plate  WHERE first.scienceprimary = # AND other.scienceprimary = #   AND other.bestObjID > #  GROUP BY first.plate, other.plate, otherPlate.programname  ORDER BY nightsObserved DESC, otherPlate.programname,   first.plate, other.plate"
2019-01-08 00:45:00,1
2019-01-08 00:47:00,1
2019-01-08 00:50:00,1
2019-01-08 00:55:00,1
2019-01-08 01:21:00,1
2019-01-08 03:46:00,1
2019-01-08 06:48:00,1
2019-01-08 16:00:00,1
2019-01-08 16:02:00,1
2019-01-08 16:10:00,1
2019-01-08 16:19:00,1
2019-01-08 16:36:00,1
