27,"SELECT TOP #  s.plate,s.mjd,s.fiberid  FROM ..SpecObj as s  JOIN dbo.fGetNearbySpecObjEq(#,#,#) AS b ON b.SpecobjID = S.SpecobjID  WHERE s.zWarning = #"
2019-04-25 02:55:00,1
2019-04-25 04:59:00,1
2019-04-25 05:47:00,1
2019-04-25 07:23:00,1
2019-04-25 07:24:00,1
2019-04-25 08:25:00,1
2019-04-25 08:26:00,1
2019-04-25 08:27:00,1
2019-04-25 08:38:00,2
2019-04-25 08:39:00,1
2019-04-25 08:42:00,1
2019-04-25 08:44:00,2
2019-04-25 09:13:00,1
2019-04-25 09:17:00,1
2019-04-25 09:30:00,1
2019-04-25 12:06:00,2
2019-04-25 13:22:00,1
2019-04-25 13:51:00,1
2019-04-25 15:58:00,1
2019-04-25 16:22:00,1
2019-04-25 16:24:00,1
2019-04-25 19:30:00,1
2019-04-25 19:40:00,1
2019-04-25 23:40:00,1
