588,"SELECT   objid, ra, dec, u, g, r, i, z, err_u, err_g, err_r, err_i, err_z FROM PhotoObj  WHERE   ra BETWEEN # AND # AND  probPSF = #"
2019-08-01 21:26:00,2
2019-08-01 21:27:00,2
2019-08-01 21:28:00,2
2019-08-01 21:29:00,2
2019-08-01 21:30:00,2
2019-08-01 21:31:00,2
2019-08-01 21:32:00,2
2019-08-01 21:33:00,2
2019-08-01 21:34:00,2
2019-08-01 21:35:00,2
2019-08-01 21:36:00,2
2019-08-01 21:37:00,3
2019-08-01 21:38:00,2
2019-08-01 21:39:00,2
2019-08-01 21:40:00,2
2019-08-01 21:41:00,2
2019-08-01 21:42:00,3
2019-08-01 21:43:00,2
2019-08-01 21:44:00,2
2019-08-01 21:45:00,3
2019-08-01 21:46:00,2
2019-08-01 21:47:00,3
2019-08-01 21:48:00,2
2019-08-01 21:49:00,3
2019-08-01 21:50:00,2
2019-08-01 21:51:00,3
2019-08-01 21:52:00,2
2019-08-01 21:53:00,3
2019-08-01 21:54:00,2
2019-08-01 21:55:00,3
2019-08-01 21:56:00,2
2019-08-01 21:57:00,2
2019-08-01 21:58:00,3
2019-08-01 21:59:00,2
2019-08-01 22:00:00,3
2019-08-01 22:01:00,4
2019-08-01 22:02:00,3
2019-08-01 22:03:00,3
2019-08-01 22:04:00,4
2019-08-01 22:05:00,5
2019-08-01 22:06:00,4
2019-08-01 22:07:00,5
2019-08-01 22:08:00,4
2019-08-01 22:09:00,5
2019-08-01 22:10:00,5
2019-08-01 22:11:00,5
2019-08-01 22:12:00,6
2019-08-01 22:13:00,5
2019-08-01 22:14:00,5
2019-08-01 22:15:00,6
2019-08-01 22:16:00,6
2019-08-01 22:17:00,6
2019-08-01 22:18:00,6
2019-08-01 22:19:00,5
2019-08-01 22:20:00,6
2019-08-01 22:21:00,4
2019-08-01 22:22:00,4
2019-08-01 22:23:00,5
2019-08-01 22:24:00,6
2019-08-01 22:25:00,7
2019-08-01 22:26:00,6
2019-08-01 22:27:00,6
2019-08-01 22:28:00,6
2019-08-01 22:29:00,7
2019-08-01 22:30:00,7
2019-08-01 22:31:00,7
2019-08-01 22:32:00,6
2019-08-01 22:33:00,7
2019-08-01 22:34:00,7
2019-08-01 22:35:00,5
2019-08-01 22:36:00,7
2019-08-01 22:37:00,7
2019-08-01 22:38:00,7
2019-08-01 22:39:00,5
2019-08-01 22:40:00,4
2019-08-01 22:41:00,3
2019-08-01 22:42:00,3
2019-08-01 22:43:00,2
2019-08-01 22:44:00,2
2019-08-01 22:45:00,2
2019-08-01 22:46:00,2
2019-08-01 22:47:00,2
2019-08-01 22:48:00,2
2019-08-01 22:49:00,1
2019-08-01 22:50:00,2
2019-08-01 22:51:00,1
2019-08-01 22:52:00,2
2019-08-01 22:53:00,1
2019-08-01 22:54:00,2
2019-08-01 22:55:00,1
2019-08-01 22:56:00,2
2019-08-01 22:57:00,2
2019-08-01 22:58:00,1
2019-08-01 22:59:00,1
2019-08-01 23:00:00,2
2019-08-01 23:01:00,1
2019-08-01 23:02:00,2
2019-08-01 23:03:00,1
2019-08-01 23:04:00,2
2019-08-01 23:05:00,1
2019-08-01 23:06:00,1
2019-08-01 23:07:00,1
2019-08-01 23:08:00,2
2019-08-01 23:09:00,1
2019-08-01 23:10:00,2
2019-08-01 23:11:00,1
2019-08-01 23:12:00,2
2019-08-01 23:13:00,1
2019-08-01 23:14:00,1
2019-08-01 23:15:00,2
2019-08-01 23:16:00,1
2019-08-01 23:17:00,2
2019-08-01 23:18:00,2
2019-08-01 23:19:00,1
2019-08-01 23:20:00,2
2019-08-01 23:21:00,1
2019-08-01 23:22:00,1
2019-08-01 23:23:00,2
2019-08-01 23:24:00,2
2019-08-01 23:25:00,1
2019-08-01 23:26:00,2
2019-08-01 23:27:00,2
2019-08-01 23:28:00,1
2019-08-01 23:29:00,2
2019-08-01 23:30:00,2
2019-08-01 23:31:00,2
2019-08-01 23:32:00,1
2019-08-01 23:33:00,2
2019-08-01 23:34:00,2
2019-08-01 23:35:00,2
2019-08-01 23:36:00,2
2019-08-01 23:37:00,2
2019-08-01 23:38:00,2
2019-08-01 23:39:00,2
2019-08-01 23:40:00,1
2019-08-01 23:41:00,2
2019-08-01 23:42:00,2
2019-08-01 23:43:00,2
2019-08-01 23:44:00,2
2019-08-01 23:45:00,2
2019-08-01 23:46:00,3
2019-08-01 23:47:00,2
2019-08-01 23:48:00,2
2019-08-01 23:49:00,2
2019-08-01 23:50:00,2
2019-08-01 23:51:00,2
2019-08-01 23:52:00,3
2019-08-01 23:53:00,2
2019-08-01 23:54:00,2
2019-08-01 23:55:00,2
2019-08-01 23:56:00,2
2019-08-01 23:57:00,2
2019-08-01 23:58:00,2
2019-08-01 23:59:00,2
