236,"SELECT p.ra, p.dec, p.cmodelFlux_u, p.cmodelFlux_g, p.cmodelFlux_r, p.cmodelFlux_i, p.cmodelFlux_z, p.cmodelFluxIvar_u, p.cmodelFluxIvar_g, p.cmodelFluxIvar_r, p.cmodelFluxIvar_i, p.cmodelFluxIvar_z, d.w1flux, d.w2flux, d.w3flux, d.w4flux, d.w1sigflux, d.w2sigflux, d.w3sigflux, d.w4sigflux FROM PhotoObjAll AS p JOIN dbo.fGetNearbyObjEq(#,#,#) AS GN ON p.objID = GN.objID LEFT JOIN WISE_xmatch as c on p.ObjID=c.sdss_objid LEFT JOIN WISE_allsky as d on c.wise_cntr=d.cntr"
2019-06-28 04:17:00,6
2019-06-28 04:18:00,11
2019-06-28 04:19:00,15
2019-06-28 04:20:00,11
2019-06-28 04:21:00,14
2019-06-28 04:25:00,9
2019-06-28 04:26:00,12
2019-06-28 04:27:00,11
2019-06-28 04:28:00,5
2019-06-28 04:29:00,5
2019-06-28 04:30:00,3
2019-06-28 04:31:00,2
2019-06-28 04:32:00,3
2019-06-28 04:33:00,2
2019-06-28 04:34:00,4
2019-06-28 04:35:00,2
2019-06-28 04:36:00,3
2019-06-28 04:37:00,2
2019-06-28 04:38:00,3
2019-06-28 04:39:00,2
2019-06-28 04:40:00,3
2019-06-28 04:41:00,3
2019-06-28 04:42:00,2
2019-06-28 04:43:00,3
2019-06-28 04:44:00,3
2019-06-28 04:45:00,2
2019-06-28 04:46:00,3
2019-06-28 04:47:00,2
2019-06-28 04:48:00,3
2019-06-28 04:49:00,2
2019-06-28 04:50:00,3
2019-06-28 04:51:00,2
2019-06-28 04:52:00,3
2019-06-28 04:53:00,4
2019-06-28 04:54:00,4
2019-06-28 04:55:00,6
2019-06-28 04:56:00,11
2019-06-28 04:57:00,9
2019-06-28 04:58:00,10
2019-06-28 04:59:00,4
2019-06-28 05:00:00,4
2019-06-28 05:01:00,4
2019-06-28 05:02:00,3
2019-06-28 05:03:00,3
2019-06-28 05:04:00,3
2019-06-28 05:05:00,3
2019-06-28 05:06:00,2
2019-06-28 05:07:00,2
2019-06-28 05:08:00,3
2019-06-28 05:09:00,2
