53,"SELECT p.objid, p.psfMag_u AS u, p.psfMagErr_u as u_err, p.psfMag_g AS g, p.psfMagErr_g as g_err, p.dered_r AS r, p.psfMagErr_r as r_err, p.dered_i AS i, p.psfMagErr_i as i_err, p.dered_z AS z, p.psfMagErr_z as z_err FROM photoObj p JOIN dbo.fGetNearbyObjEq(#, #, #) n ON p.objid = n.objID WHERE p.type = # AND p.psfMag_g BETWEEN # AND # AND p.psfMag_u/p.psfMagerr_u > # AND p.psfMag_g/p.psfMagerr_g > # AND p.psfMag_r/p.psfMagerr_r > # AND p.psfMag_i/p.psfMagerr_i > # AND p.psfMag_z/p.psfMagerr_z > #"
2019-03-28 11:16:00,1
2019-03-28 13:14:00,1
2019-03-28 13:25:00,3
2019-03-28 13:35:00,1
2019-03-28 14:06:00,1
2019-03-28 16:08:00,1
2019-03-28 16:33:00,1
2019-03-28 16:37:00,1
2019-03-28 16:38:00,2
2019-03-28 16:39:00,5
2019-03-28 16:42:00,3
2019-03-28 16:43:00,1
2019-03-28 16:46:00,1
2019-03-28 16:53:00,1
2019-03-28 16:54:00,1
2019-03-28 16:56:00,3
2019-03-28 16:57:00,2
2019-03-28 17:01:00,1
2019-03-28 17:06:00,1
2019-03-28 17:09:00,4
2019-03-28 17:10:00,2
2019-03-28 17:20:00,2
2019-03-28 18:45:00,1
2019-03-28 18:53:00,2
2019-03-28 18:55:00,1
2019-03-28 19:01:00,2
2019-03-28 19:02:00,1
2019-03-28 19:15:00,1
2019-03-28 19:16:00,1
2019-03-28 19:37:00,1
2019-03-28 19:42:00,1
2019-03-28 19:43:00,1
2019-03-28 19:46:00,1
2019-03-28 19:51:00,1
