6865,"SELECT TOP # SP.objID, SP.ra, SP.dec, SP.type, SP.psfMag_r, SP.psfMagErr_r, SP.petroMag_r, SP.petroMagErr_r, SP.modelMag_r, SP.modelMagErr_r, S.specObjId, S.veldisp, S.Z FROM SpecPhotoAll as SP JOIN specObj AS S ON SP.specObjId = S.specObjID JOIN dbo.fGetNearbyObjEq(#,#, #) AS PN ON SP.objID = PN.objID ORDER BY distance"
2019-07-08 16:51:00,2
2019-07-08 16:58:00,3
2019-07-08 17:00:00,3
2019-07-08 17:07:00,84
2019-07-08 17:10:00,70
2019-07-08 17:11:00,42
2019-07-08 17:21:00,64
2019-07-08 17:30:00,64
2019-07-08 17:31:00,158
2019-07-08 17:32:00,190
2019-07-08 17:33:00,187
2019-07-08 17:34:00,199
2019-07-08 17:35:00,188
2019-07-08 17:36:00,187
2019-07-08 17:37:00,193
2019-07-08 17:38:00,183
2019-07-08 17:39:00,196
2019-07-08 17:40:00,170
2019-07-08 17:41:00,160
2019-07-08 17:42:00,193
2019-07-08 17:43:00,186
2019-07-08 17:44:00,193
2019-07-08 17:45:00,186
2019-07-08 17:46:00,177
2019-07-08 17:47:00,194
2019-07-08 17:48:00,183
2019-07-08 17:49:00,183
2019-07-08 17:50:00,184
2019-07-08 17:51:00,181
2019-07-08 17:52:00,187
2019-07-08 17:53:00,178
2019-07-08 17:54:00,188
2019-07-08 17:55:00,187
2019-07-08 17:56:00,175
2019-07-08 17:57:00,192
2019-07-08 17:58:00,188
2019-07-08 17:59:00,165
2019-07-08 18:00:00,148
2019-07-08 18:01:00,172
2019-07-08 18:02:00,188
2019-07-08 18:03:00,192
2019-07-08 18:04:00,185
2019-07-08 18:05:00,186
2019-07-08 18:06:00,131
