15998,"SELECT DISTINCT p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.class, s.z, s.plate, s.mjd, s.fiberID, s.specobjid, s.run2d, s.instrument FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-05-18 15:33:00,17
2019-05-18 15:34:00,304
2019-05-18 15:35:00,319
2019-05-18 15:36:00,252
2019-05-18 15:37:00,292
2019-05-18 15:38:00,162
2019-05-18 15:39:00,261
2019-05-18 15:40:00,283
2019-05-18 15:41:00,231
2019-05-18 15:42:00,233
2019-05-18 15:43:00,269
2019-05-18 15:44:00,271
2019-05-18 15:45:00,233
2019-05-18 15:46:00,296
2019-05-18 15:47:00,275
2019-05-18 15:48:00,247
2019-05-18 15:49:00,214
2019-05-18 15:50:00,275
2019-05-18 15:51:00,141
2019-05-18 15:52:00,264
2019-05-18 15:53:00,208
2019-05-18 15:54:00,207
2019-05-18 15:55:00,289
2019-05-18 15:56:00,249
2019-05-18 15:57:00,236
2019-05-18 15:58:00,224
2019-05-18 15:59:00,205
2019-05-18 16:00:00,144
2019-05-18 16:01:00,150
2019-05-18 16:02:00,216
2019-05-18 16:03:00,108
2019-05-18 16:04:00,157
2019-05-18 16:05:00,197
2019-05-18 16:06:00,190
2019-05-18 16:07:00,92
2019-05-18 16:08:00,152
2019-05-18 16:09:00,226
2019-05-18 16:10:00,226
2019-05-18 16:11:00,243
2019-05-18 16:12:00,212
2019-05-18 16:13:00,208
2019-05-18 16:14:00,116
2019-05-18 16:15:00,215
2019-05-18 16:16:00,234
2019-05-18 16:17:00,260
2019-05-18 16:18:00,228
2019-05-18 16:19:00,193
2019-05-18 16:20:00,250
2019-05-18 16:21:00,220
2019-05-18 16:22:00,234
2019-05-18 16:23:00,254
2019-05-18 16:24:00,262
2019-05-18 16:25:00,285
2019-05-18 16:26:00,63
2019-05-18 16:27:00,218
2019-05-18 16:28:00,259
2019-05-18 16:29:00,298
2019-05-18 16:30:00,293
2019-05-18 16:31:00,272
2019-05-18 16:32:00,315
2019-05-18 16:33:00,301
2019-05-18 16:34:00,366
2019-05-18 16:35:00,371
2019-05-18 16:36:00,378
2019-05-18 16:37:00,386
2019-05-18 16:38:00,379
2019-05-18 16:39:00,370
