22,SELECT count(*)
2019-02-10 01:53:00,1
2019-02-10 02:02:00,1
2019-02-10 02:10:00,1
2019-02-10 02:21:00,1
2019-02-10 02:49:00,1
2019-02-10 03:19:00,1
2019-02-10 03:30:00,1
2019-02-10 03:33:00,1
2019-02-10 04:02:00,1
2019-02-10 04:05:00,1
2019-02-10 04:10:00,1
2019-02-10 04:16:00,1
2019-02-10 13:18:00,1
2019-02-10 18:08:00,1
2019-02-10 22:35:00,1
2019-02-10 22:41:00,1
2019-02-10 22:45:00,1
2019-02-10 22:46:00,1
2019-02-10 23:01:00,1
2019-02-10 23:39:00,1
2019-02-10 23:40:00,1
2019-02-10 23:42:00,1
