3572,"SELECT TOP # G.objID,G.ra,G.dec,GN.distance, PZ.z as photoz, PZ.zErr as photoz_err, S.z as specz FROM Galaxy as G JOIN dbo.fGetNearbyObjEq(#, #, #) AS GN ON G.objID = GN.objID JOIN Photoz AS PZ ON PZ.objID = GN.objID LEFT JOIN Specobj AS S ON PZ.objID = S.bestObjID ORDER BY distance"
2019-12-03 15:34:00,31
2019-12-03 15:35:00,67
2019-12-03 15:36:00,36
2019-12-03 15:37:00,62
2019-12-03 15:38:00,67
2019-12-03 15:39:00,73
2019-12-03 15:40:00,70
2019-12-03 15:41:00,75
2019-12-03 15:42:00,73
2019-12-03 15:43:00,80
2019-12-03 15:44:00,70
2019-12-03 15:45:00,66
2019-12-03 15:46:00,62
2019-12-03 15:47:00,58
2019-12-03 15:48:00,63
2019-12-03 15:49:00,70
2019-12-03 15:50:00,69
2019-12-03 15:51:00,62
2019-12-03 15:52:00,62
2019-12-03 15:53:00,71
2019-12-03 15:54:00,81
2019-12-03 15:55:00,77
2019-12-03 15:56:00,72
2019-12-03 15:57:00,79
2019-12-03 15:58:00,80
2019-12-03 15:59:00,62
2019-12-03 16:00:00,77
2019-12-03 16:01:00,80
2019-12-03 16:02:00,68
2019-12-03 16:03:00,67
2019-12-03 16:04:00,71
2019-12-03 16:05:00,72
2019-12-03 16:06:00,66
2019-12-03 16:07:00,62
2019-12-03 16:08:00,59
2019-12-03 16:09:00,60
2019-12-03 16:10:00,52
2019-12-03 16:11:00,62
2019-12-03 16:12:00,60
2019-12-03 16:13:00,59
2019-12-03 16:14:00,55
2019-12-03 16:15:00,60
2019-12-03 16:16:00,64
2019-12-03 16:17:00,56
2019-12-03 16:18:00,61
2019-12-03 16:19:00,39
2019-12-03 17:03:00,56
2019-12-03 17:04:00,62
2019-12-03 17:05:00,60
2019-12-03 17:06:00,62
2019-12-03 17:07:00,63
2019-12-03 17:08:00,60
2019-12-03 17:09:00,64
2019-12-03 17:10:00,64
2019-12-03 17:11:00,63
2019-12-03 17:12:00,30
