13,"select top # p.ra, p.dec, p.deVRad_r, q.z from galaxy p, dbo.fgetNearByObjEq(#,#,#) n, galSpecInfo q where p.objid=n.objid and p.specObjID=q.specObjID and p.specObjID<># and q.z># and abs(#*(#-q.z))<#"
2019-09-30 06:53:00,1
2019-09-30 08:47:00,1
2019-09-30 08:56:00,1
2019-09-30 09:15:00,1
2019-09-30 09:21:00,1
2019-09-30 09:28:00,1
2019-09-30 09:37:00,1
2019-09-30 09:38:00,1
2019-09-30 15:03:00,1
2019-09-30 15:39:00,1
2019-09-30 15:48:00,1
2019-09-30 15:52:00,1
2019-09-30 15:56:00,1
