54877,"select p.ra, p.dec, p.type,p.insidemask,p.flags_g,p.flags_i,p.flags_r,p.cModelMag_u, p.cModelMagErr_u,p.cModelMag_g, p.cModelMagErr_g,p.cModelMag_r, p.cModelMagErr_r,p.cModelMag_i, p.cModelMagErr_i,p.cModelMag_z, p.cModelMagErr_z from Galaxy p join dbo.fGetNearbyObjEq(#,#,#) r on p.ObjID = r.ObjID"
2019-01-11 09:56:00,55
2019-01-11 09:57:00,54
2019-01-11 09:58:00,54
2019-01-11 09:59:00,55
2019-01-11 10:00:00,55
2019-01-11 10:01:00,56
2019-01-11 10:02:00,52
2019-01-11 10:03:00,52
2019-01-11 10:04:00,39
2019-01-11 10:05:00,39
2019-01-11 10:06:00,39
2019-01-11 10:07:00,53
2019-01-11 10:08:00,59
2019-01-11 10:09:00,59
2019-01-11 10:10:00,65
2019-01-11 10:11:00,63
2019-01-11 10:12:00,58
2019-01-11 10:13:00,55
2019-01-11 10:14:00,50
2019-01-11 10:15:00,48
2019-01-11 10:16:00,48
2019-01-11 10:17:00,44
2019-01-11 10:18:00,39
2019-01-11 10:19:00,39
2019-01-11 10:20:00,53
2019-01-11 10:21:00,59
2019-01-11 10:22:00,59
2019-01-11 10:23:00,59
2019-01-11 10:24:00,54
2019-01-11 10:25:00,50
2019-01-11 10:26:00,50
2019-01-11 10:27:00,49
2019-01-11 10:28:00,47
2019-01-11 10:29:00,36
2019-01-11 10:30:00,34
2019-01-11 10:31:00,34
2019-01-11 10:32:00,44
2019-01-11 10:33:00,46
2019-01-11 10:34:00,52
2019-01-11 10:35:00,60
2019-01-11 10:36:00,55
2019-01-11 10:37:00,36
2019-01-11 10:38:00,38
2019-01-11 10:39:00,35
2019-01-11 10:40:00,24
2019-01-11 10:41:00,24
2019-01-11 10:42:00,21
2019-01-11 10:43:00,24
2019-01-11 10:44:00,23
2019-01-11 10:45:00,57
2019-01-11 10:46:00,58
2019-01-11 10:47:00,50
2019-01-11 10:48:00,45
2019-01-11 10:49:00,45
2019-01-11 10:50:00,33
2019-01-11 10:51:00,34
2019-01-11 10:52:00,36
2019-01-11 10:53:00,60
2019-01-11 10:54:00,78
2019-01-11 10:55:00,49
2019-01-11 10:56:00,48
2019-01-11 10:57:00,47
2019-01-11 10:58:00,49
2019-01-11 10:59:00,48
2019-01-11 11:00:00,48
2019-01-11 11:01:00,49
2019-01-11 11:02:00,49
2019-01-11 11:03:00,49
2019-01-11 11:04:00,46
2019-01-11 11:05:00,47
2019-01-11 11:06:00,22
2019-01-11 11:07:00,21
2019-01-11 11:08:00,21
2019-01-11 11:09:00,20
2019-01-11 11:10:00,20
2019-01-11 11:11:00,21
2019-01-11 11:12:00,25
2019-01-11 11:13:00,31
2019-01-11 11:14:00,29
2019-01-11 11:15:00,30
2019-01-11 11:16:00,29
2019-01-11 11:17:00,35
2019-01-11 11:18:00,31
2019-01-11 11:19:00,33
2019-01-11 11:20:00,33
2019-01-11 11:21:00,42
2019-01-11 11:22:00,42
2019-01-11 11:23:00,44
2019-01-11 11:24:00,57
2019-01-11 11:25:00,53
2019-01-11 11:26:00,59
2019-01-11 11:27:00,57
2019-01-11 11:28:00,54
2019-01-11 11:29:00,48
2019-01-11 11:30:00,36
2019-01-11 11:31:00,23
2019-01-11 11:32:00,25
2019-01-11 11:33:00,25
2019-01-11 11:34:00,24
2019-01-11 11:35:00,40
2019-01-11 11:36:00,57
2019-01-11 11:37:00,58
2019-01-11 11:38:00,59
2019-01-11 11:39:00,59
2019-01-11 11:40:00,57
2019-01-11 11:41:00,55
2019-01-11 11:42:00,46
2019-01-11 11:43:00,23
2019-01-11 11:44:00,21
2019-01-11 11:45:00,21
2019-01-11 11:46:00,21
2019-01-11 11:47:00,20
2019-01-11 11:48:00,25
2019-01-11 11:49:00,60
2019-01-11 11:50:00,54
2019-01-11 11:51:00,38
2019-01-11 11:52:00,38
2019-01-11 11:53:00,45
2019-01-11 11:54:00,54
2019-01-11 11:55:00,54
2019-01-11 11:56:00,46
2019-01-11 11:57:00,44
2019-01-11 11:58:00,44
2019-01-11 11:59:00,39
2019-01-11 12:00:00,29
2019-01-11 12:01:00,31
2019-01-11 12:02:00,28
2019-01-11 12:03:00,35
2019-01-11 12:04:00,43
2019-01-11 12:05:00,43
2019-01-11 12:06:00,41
2019-01-11 12:07:00,35
2019-01-11 12:08:00,32
2019-01-11 12:09:00,33
2019-01-11 12:10:00,43
2019-01-11 12:11:00,56
2019-01-11 12:12:00,42
2019-01-11 12:13:00,22
2019-01-11 12:14:00,22
2019-01-11 12:15:00,23
2019-01-11 12:16:00,22
2019-01-11 12:17:00,49
2019-01-11 12:18:00,58
2019-01-11 12:19:00,63
2019-01-11 12:20:00,66
2019-01-11 12:21:00,64
2019-01-11 12:22:00,61
2019-01-11 12:23:00,58
2019-01-11 12:24:00,54
2019-01-11 12:25:00,53
2019-01-11 12:26:00,54
2019-01-11 12:27:00,51
2019-01-11 12:28:00,54
2019-01-11 12:29:00,53
2019-01-11 12:30:00,56
2019-01-11 12:31:00,57
2019-01-11 12:32:00,54
2019-01-11 12:33:00,47
2019-01-11 12:34:00,49
2019-01-11 12:35:00,42
2019-01-11 12:36:00,39
2019-01-11 12:37:00,38
2019-01-11 12:38:00,54
2019-01-11 12:39:00,59
2019-01-11 12:40:00,49
2019-01-11 12:41:00,43
2019-01-11 12:42:00,45
2019-01-11 12:43:00,43
2019-01-11 12:44:00,40
2019-01-11 12:45:00,39
2019-01-11 12:46:00,40
2019-01-11 12:47:00,39
2019-01-11 12:48:00,38
2019-01-11 12:49:00,43
2019-01-11 12:50:00,59
2019-01-11 12:51:00,55
2019-01-11 12:52:00,43
2019-01-11 12:53:00,44
2019-01-11 12:54:00,45
2019-01-11 12:55:00,44
2019-01-11 12:56:00,43
2019-01-11 12:57:00,46
2019-01-11 12:58:00,47
2019-01-11 12:59:00,48
2019-01-11 13:00:00,55
2019-01-11 13:01:00,55
2019-01-11 13:02:00,60
2019-01-11 13:03:00,60
2019-01-11 13:04:00,61
2019-01-11 13:05:00,58
2019-01-11 13:06:00,54
2019-01-11 13:07:00,45
2019-01-11 13:08:00,46
2019-01-11 13:09:00,56
2019-01-11 13:10:00,57
2019-01-11 13:11:00,57
2019-01-11 13:12:00,59
2019-01-11 13:13:00,58
2019-01-11 13:14:00,59
2019-01-11 13:15:00,56
2019-01-11 13:16:00,55
2019-01-11 13:17:00,51
2019-01-11 13:18:00,48
2019-01-11 13:19:00,35
2019-01-11 13:20:00,24
2019-01-11 13:21:00,22
2019-01-11 13:22:00,21
2019-01-11 13:23:00,22
2019-01-11 13:24:00,23
2019-01-11 13:25:00,40
2019-01-11 13:26:00,43
2019-01-11 13:27:00,42
2019-01-11 13:28:00,51
2019-01-11 13:29:00,50
2019-01-11 13:30:00,55
2019-01-11 13:31:00,55
2019-01-11 13:32:00,56
2019-01-11 13:33:00,60
2019-01-11 13:34:00,58
2019-01-11 13:35:00,57
2019-01-11 13:36:00,55
2019-01-11 13:37:00,59
2019-01-11 13:38:00,63
2019-01-11 13:39:00,42
2019-01-11 13:40:00,16
2019-01-11 13:41:00,15
2019-01-11 13:42:00,16
2019-01-11 13:43:00,15
2019-01-11 13:44:00,17
2019-01-11 13:45:00,15
2019-01-11 13:46:00,16
2019-01-11 13:47:00,21
2019-01-11 13:48:00,47
2019-01-11 13:49:00,44
2019-01-11 13:50:00,52
2019-01-11 13:51:00,58
2019-01-11 13:52:00,39
2019-01-11 13:53:00,26
2019-01-11 13:54:00,43
2019-01-11 13:55:00,61
2019-01-11 13:56:00,36
2019-01-11 13:57:00,18
2019-01-11 13:58:00,17
2019-01-11 13:59:00,18
2019-01-11 14:00:00,18
2019-01-11 14:01:00,18
2019-01-11 14:02:00,19
2019-01-11 14:03:00,43
2019-01-11 14:04:00,49
2019-01-11 14:05:00,51
2019-01-11 14:06:00,58
2019-01-11 14:07:00,56
2019-01-11 14:08:00,49
2019-01-11 14:09:00,47
2019-01-11 14:10:00,48
2019-01-11 14:11:00,59
2019-01-11 14:12:00,54
2019-01-11 14:13:00,40
2019-01-11 14:14:00,37
2019-01-11 14:15:00,42
2019-01-11 14:16:00,64
2019-01-11 14:17:00,62
2019-01-11 14:18:00,52
2019-01-11 14:19:00,47
2019-01-11 14:20:00,48
2019-01-11 14:21:00,45
2019-01-11 14:22:00,42
2019-01-11 14:23:00,42
2019-01-11 14:24:00,64
2019-01-11 14:25:00,63
2019-01-11 14:26:00,59
2019-01-11 14:27:00,63
2019-01-11 14:28:00,56
2019-01-11 14:29:00,57
2019-01-11 14:30:00,43
2019-01-11 14:31:00,41
2019-01-11 14:32:00,43
2019-01-11 14:33:00,53
2019-01-11 14:34:00,58
2019-01-11 14:35:00,62
2019-01-11 14:36:00,62
2019-01-11 14:37:00,62
2019-01-11 14:38:00,61
2019-01-11 14:39:00,61
2019-01-11 14:40:00,54
2019-01-11 14:41:00,55
2019-01-11 14:42:00,59
2019-01-11 14:43:00,61
2019-01-11 14:44:00,54
2019-01-11 14:45:00,49
2019-01-11 14:46:00,57
2019-01-11 14:47:00,55
2019-01-11 14:48:00,57
2019-01-11 14:49:00,53
2019-01-11 14:50:00,54
2019-01-11 14:51:00,60
2019-01-11 14:52:00,57
2019-01-11 14:53:00,61
2019-01-11 14:54:00,63
2019-01-11 14:55:00,59
2019-01-11 14:56:00,41
2019-01-11 14:57:00,41
2019-01-11 14:58:00,40
2019-01-11 14:59:00,37
2019-01-11 15:00:00,35
2019-01-11 15:01:00,39
2019-01-11 15:02:00,37
2019-01-11 15:03:00,11
2019-01-11 15:04:00,14
2019-01-11 15:05:00,33
2019-01-11 15:06:00,62
2019-01-11 15:07:00,60
2019-01-11 15:08:00,60
2019-01-11 15:09:00,51
2019-01-11 15:10:00,49
2019-01-11 15:11:00,51
2019-01-11 15:12:00,49
2019-01-11 15:13:00,44
2019-01-11 15:14:00,36
2019-01-11 15:15:00,37
2019-01-11 15:16:00,40
2019-01-11 15:17:00,60
2019-01-11 15:18:00,56
2019-01-11 15:19:00,41
2019-01-11 15:20:00,42
2019-01-11 15:21:00,47
2019-01-11 15:22:00,62
2019-01-11 15:23:00,53
2019-01-11 15:24:00,34
2019-01-11 15:25:00,32
2019-01-11 15:26:00,32
2019-01-11 15:27:00,33
2019-01-11 15:28:00,55
2019-01-11 15:29:00,58
2019-01-11 15:30:00,49
2019-01-11 15:31:00,19
2019-01-11 15:32:00,19
2019-01-11 15:33:00,20
2019-01-11 15:34:00,18
2019-01-11 15:35:00,13
2019-01-11 15:36:00,15
2019-01-11 15:37:00,16
2019-01-11 15:38:00,31
2019-01-11 15:39:00,36
2019-01-11 15:40:00,32
2019-01-11 15:41:00,34
2019-01-11 15:42:00,61
2019-01-11 15:43:00,59
2019-01-11 15:44:00,49
2019-01-11 15:45:00,48
2019-01-11 15:46:00,52
2019-01-11 15:47:00,50
2019-01-11 15:48:00,53
2019-01-11 15:49:00,41
2019-01-11 15:50:00,24
2019-01-11 15:51:00,23
2019-01-11 15:52:00,22
2019-01-11 15:53:00,23
2019-01-11 15:54:00,27
2019-01-11 15:55:00,45
2019-01-11 15:56:00,43
2019-01-11 15:57:00,45
2019-01-11 15:58:00,47
2019-01-11 15:59:00,43
2019-01-11 16:00:00,46
2019-01-11 16:01:00,45
2019-01-11 16:02:00,43
2019-01-11 16:03:00,33
2019-01-11 16:04:00,33
2019-01-11 16:05:00,32
2019-01-11 16:06:00,21
2019-01-11 16:07:00,59
2019-01-11 16:08:00,59
2019-01-11 16:09:00,34
2019-01-11 16:10:00,26
2019-01-11 16:11:00,25
2019-01-11 16:12:00,25
2019-01-11 16:13:00,24
2019-01-11 16:14:00,45
2019-01-11 16:15:00,57
2019-01-11 16:16:00,51
2019-01-11 16:17:00,33
2019-01-11 16:18:00,32
2019-01-11 16:19:00,31
2019-01-11 16:20:00,25
2019-01-11 16:21:00,13
2019-01-11 16:22:00,14
2019-01-11 16:23:00,12
2019-01-11 16:24:00,12
2019-01-11 16:25:00,13
2019-01-11 16:26:00,13
2019-01-11 16:27:00,13
