1275,"SELECT G.objID as sdss_ID, G.ra as RA, G.dec as DEC, P.z as redshift, p.zErr as redshift_err, G.modelMag_u as MODEL_MAG_U, G.modelMag_g as MODEL_MAG_G, G.modelMag_r as MODEL_MAG_R, G.modelMag_i as MODEL_MAG_I, G.modelMag_z as MODEL_MAG_Z, G.modelMagErr_u as MODEL_MAG_U_err, G.modelMagErr_g as MODEL_MAG_G_err, G.modelMagErr_r as MODEL_MAG_R_err, G.modelMagErr_i as MODEL_MAG_I_err, G.modelMagErr_z as MODEL_MAG_Z_err, P.absMagU, P.absMagG, P.absMagR, P.absMagI, P.absMagZ FROM Galaxy as G JOIN dbo.fGetNearbyObjEq(#,#,#) AS GN ON G.objID = GN.objID JOIN Photoz as P ON P.objID = G.objID"
2019-01-11 17:51:00,20
2019-01-11 17:52:00,47
2019-01-11 17:53:00,45
2019-01-11 17:54:00,42
2019-01-11 17:55:00,39
2019-01-11 17:56:00,36
2019-01-11 17:57:00,35
2019-01-11 17:58:00,34
2019-01-11 17:59:00,34
2019-01-11 18:00:00,31
2019-01-11 18:01:00,32
2019-01-11 18:02:00,28
2019-01-11 18:03:00,30
2019-01-11 18:04:00,28
2019-01-11 18:05:00,29
2019-01-11 18:06:00,17
2019-01-11 18:07:00,28
2019-01-11 18:08:00,27
2019-01-11 18:09:00,26
2019-01-11 18:10:00,26
2019-01-11 18:11:00,25
2019-01-11 18:12:00,23
2019-01-11 18:13:00,24
2019-01-11 18:14:00,25
2019-01-11 18:15:00,24
2019-01-11 18:16:00,23
2019-01-11 18:17:00,23
2019-01-11 18:18:00,22
2019-01-11 18:19:00,21
2019-01-11 18:20:00,19
2019-01-11 18:21:00,19
2019-01-11 18:22:00,20
2019-01-11 18:23:00,20
2019-01-11 18:24:00,20
2019-01-11 18:25:00,20
2019-01-11 18:26:00,20
2019-01-11 18:27:00,19
2019-01-11 18:28:00,18
2019-01-11 18:29:00,18
2019-01-11 18:30:00,19
2019-01-11 18:31:00,20
2019-01-11 18:32:00,20
2019-01-11 18:33:00,19
2019-01-11 18:34:00,20
2019-01-11 18:35:00,18
2019-01-11 18:36:00,19
2019-01-11 18:37:00,18
2019-01-11 18:38:00,18
2019-01-11 18:39:00,18
2019-01-11 18:40:00,19
2019-01-11 18:41:00,14
2019-01-11 19:11:00,3
2019-01-11 19:12:00,13
