225,"SELECT TOP #  G.ra,G.dec,G.modelMag_r,G.modelMagErr_r,G.extinction_r,  pz.z,pz.zErr,  G.modelFlux_u,  G.modelFlux_g,  G.modelFlux_r,  G.modelFlux_i,  G.modelFlux_z,  G.modelFluxIvar_u,G.modelFluxIvar_g,G.modelFluxIvar_r,G.modelFluxIvar_i,G.modelFluxIvar_z,GN.distance  FROM  dbo.fGetNearbyObjEq(#, #, #) AS GN  JOIN Galaxy AS G ON GN.objID = G.objID  JOIN PhotoTag AS pt ON pt.objID = G.objID  JOIN Photoz AS pz ON GN.objID = pz.objID  ORDER by distance"
2019-02-15 06:23:00,1
2019-02-15 13:50:00,2
2019-02-15 13:51:00,10
2019-02-15 13:52:00,6
2019-02-15 13:55:00,6
2019-02-15 13:56:00,7
2019-02-15 13:57:00,3
2019-02-15 14:00:00,2
2019-02-15 14:01:00,7
2019-02-15 14:02:00,7
2019-02-15 14:03:00,5
2019-02-15 14:04:00,8
2019-02-15 14:06:00,2
2019-02-15 14:07:00,7
2019-02-15 14:08:00,4
2019-02-15 14:09:00,7
2019-02-15 14:10:00,4
2019-02-15 14:11:00,6
2019-02-15 14:12:00,3
2019-02-15 14:13:00,2
2019-02-15 14:14:00,4
2019-02-15 14:15:00,5
2019-02-15 14:16:00,7
2019-02-15 14:17:00,7
2019-02-15 14:18:00,5
2019-02-15 14:19:00,4
2019-02-15 15:21:00,2
2019-02-15 15:22:00,5
2019-02-15 15:23:00,10
2019-02-15 15:24:00,6
2019-02-15 15:25:00,10
2019-02-15 15:26:00,9
2019-02-15 15:27:00,10
2019-02-15 15:28:00,7
2019-02-15 15:29:00,4
2019-02-15 15:30:00,2
2019-02-15 15:31:00,8
2019-02-15 15:32:00,10
2019-02-15 15:33:00,6
2019-02-15 15:34:00,5
