21,"select top # p.ra, p.dec, p.deVRad_r, q.z from galaxy p, dbo.fgetNearByObjEq(#,#,#) n, galSpecInfo q where p.objid=n.objid and p.specObjID=q.specObjID  and p.specObjID<>#  and q.z>#"
2019-03-17 05:17:00,1
2019-03-17 05:18:00,2
2019-03-17 05:19:00,1
2019-03-17 05:20:00,1
2019-03-17 05:21:00,2
2019-03-17 05:22:00,1
2019-03-17 05:23:00,1
2019-03-17 05:25:00,1
2019-03-17 05:28:00,1
2019-03-17 05:29:00,1
2019-03-17 05:32:00,1
2019-03-17 05:33:00,1
2019-03-17 06:46:00,1
2019-03-17 07:19:00,1
2019-03-17 07:21:00,1
2019-03-17 07:23:00,2
2019-03-17 07:24:00,1
2019-03-17 07:31:00,1
