17,"select top # p.ra, p.dec, p.deVRad_r, q.z from galaxy p, dbo.fgetNearByObjEq(#,#,#) n, galSpecInfo q where p.objid=n.objid and p.specObjID=q.specObjID and p.specObjID<># and q.z># and abs(#*(#-q.z))<#"
2019-03-17 00:17:00,1
2019-03-17 00:22:00,1
2019-03-17 01:39:00,1
2019-03-17 01:40:00,1
2019-03-17 01:58:00,1
2019-03-17 01:59:00,1
2019-03-17 02:09:00,1
2019-03-17 02:10:00,1
2019-03-17 15:11:00,1
2019-03-17 15:12:00,1
2019-03-17 18:50:00,1
2019-03-17 19:08:00,1
2019-03-17 19:21:00,1
2019-03-17 19:25:00,1
2019-03-17 19:43:00,1
2019-03-17 19:56:00,1
2019-03-17 21:38:00,1
