31,"select top # p.ra, p.dec, p.deVRad_r, q.z from galaxy p, dbo.fgetNearByObjEq(#,#,#) n, galSpecInfo q where p.objid=n.objid and p.specObjID=q.specObjID and p.specObjID<># and q.z># and abs(#*(#-q.z))<#"
2019-03-17 02:26:00,2
2019-03-17 03:26:00,1
2019-03-17 03:27:00,2
2019-03-17 03:30:00,1
2019-03-17 03:37:00,1
2019-03-17 03:56:00,5
2019-03-17 03:57:00,2
2019-03-17 03:58:00,1
2019-03-17 03:59:00,2
2019-03-17 04:01:00,1
2019-03-17 04:03:00,1
2019-03-17 04:04:00,1
2019-03-17 04:06:00,1
2019-03-17 04:46:00,2
2019-03-17 04:47:00,3
2019-03-17 04:48:00,1
2019-03-17 04:49:00,1
2019-03-17 04:56:00,1
2019-03-17 07:31:00,1
2019-03-17 07:33:00,1
