11,"SELECT first.plate, other.plate,   COUNT(DISTINCT other.mjd) + COUNT(DISTINCT first.mjd) AS nightsObserved,   otherPlate.programname, count(DISTINCT other.bestObjID) AS objects  FROM SpecObjAll first  JOIN SpecObjAll other ON first.bestObjID = other.bestObjID  JOIN PlateX AS firstPlate ON firstPlate.plate = first.plate  JOIN PlateX AS otherPlate ON otherPlate.plate = other.plate  WHERE first.scienceprimary = # AND other.scienceprimary = #   AND other.bestObjID > #  GROUP BY first.plate, other.plate, otherPlate.programname  ORDER BY nightsObserved DESC, otherPlate.programname,   first.plate, other.plate"
2019-09-20 00:49:00,1
2019-09-20 02:07:00,1
2019-09-20 02:10:00,1
2019-09-20 05:00:00,1
2019-09-20 05:10:00,1
2019-09-20 05:27:00,1
2019-09-20 08:56:00,1
2019-09-20 08:58:00,1
2019-09-20 09:01:00,1
2019-09-20 09:15:00,1
2019-09-20 09:32:00,1
