15,"select v.*             from optw.tamass.VARIABLES v              where ID = # --,#,B1#_#E,Median household income in the past # months (in # inflation-adjusted dollars),MEDIAN HOUSEHOLD INCOME IN THE PAST # MONTHS"
2019-11-03 07:20:00,1
2019-11-03 07:22:00,1
2019-11-03 11:24:00,1
2019-11-03 11:35:00,1
2019-11-03 11:36:00,1
2019-11-03 11:49:00,1
2019-11-03 11:52:00,1
2019-11-03 11:56:00,1
2019-11-03 14:59:00,1
2019-11-03 15:07:00,1
2019-11-03 15:12:00,1
2019-11-03 15:31:00,1
2019-11-03 15:34:00,1
2019-11-03 16:45:00,1
2019-11-03 17:02:00,1
