22,"select top # p.ra, p.dec, p.deVRad_r, q.z from galaxy p, dbo.fgetNearByObjEq(#,#,#) n, galSpecInfo q where p.objid=n.objid and p.specObjID=q.specObjID and p.specObjID<># and q.z># and abs(#*(#-q.z))<#"
2019-09-25 07:20:00,2
2019-09-25 07:22:00,1
2019-09-25 08:04:00,1
2019-09-25 16:00:00,1
2019-09-25 16:01:00,4
2019-09-25 16:04:00,2
2019-09-25 17:37:00,1
2019-09-25 17:40:00,1
2019-09-25 20:01:00,1
2019-09-25 22:14:00,1
2019-09-25 22:16:00,1
2019-09-25 22:19:00,2
2019-09-25 22:25:00,1
2019-09-25 22:26:00,1
2019-09-25 22:27:00,1
2019-09-25 22:28:00,1
