2169,"SELECT TOP # G.objID,G.ra,G.dec,GN.distance, PZ.z as photoz, S.z as specz FROM Galaxy as G JOIN dbo.fGetNearbyObjEq(#, #, #) AS GN ON G.objID = GN.objID JOIN Photoz AS PZ ON PZ.objID = GN.objID LEFT JOIN Specobj AS S ON PZ.objID = S.bestObjID ORDER BY distance"
2019-11-11 16:58:00,2
2019-11-11 17:09:00,24
2019-11-11 17:10:00,45
2019-11-11 17:11:00,29
2019-11-11 17:55:00,25
2019-11-11 17:56:00,44
2019-11-11 17:57:00,44
2019-11-11 17:58:00,43
2019-11-11 17:59:00,42
2019-11-11 18:00:00,43
2019-11-11 18:01:00,47
2019-11-11 18:02:00,41
2019-11-11 18:03:00,42
2019-11-11 18:04:00,43
2019-11-11 18:05:00,43
2019-11-11 18:06:00,44
2019-11-11 18:07:00,45
2019-11-11 18:08:00,42
2019-11-11 18:09:00,31
2019-11-11 22:28:00,2
2019-11-11 22:29:00,3
2019-11-11 22:30:00,5
2019-11-11 22:31:00,43
2019-11-11 22:32:00,39
2019-11-11 22:33:00,44
2019-11-11 22:34:00,40
2019-11-11 22:35:00,24
2019-11-11 22:48:00,29
2019-11-11 22:49:00,44
2019-11-11 22:50:00,44
2019-11-11 22:51:00,46
2019-11-11 22:52:00,52
2019-11-11 22:53:00,50
2019-11-11 22:54:00,51
2019-11-11 22:55:00,50
2019-11-11 22:56:00,48
2019-11-11 22:57:00,47
2019-11-11 22:58:00,42
2019-11-11 22:59:00,46
2019-11-11 23:00:00,34
2019-11-11 23:01:00,50
2019-11-11 23:02:00,55
2019-11-11 23:03:00,54
2019-11-11 23:04:00,46
2019-11-11 23:05:00,41
2019-11-11 23:06:00,51
2019-11-11 23:07:00,46
2019-11-11 23:08:00,46
2019-11-11 23:09:00,39
2019-11-11 23:10:00,45
2019-11-11 23:11:00,49
2019-11-11 23:12:00,56
2019-11-11 23:13:00,62
2019-11-11 23:14:00,27
