22,"SELECT first.plate, other.plate,   COUNT(DISTINCT other.mjd) + COUNT(DISTINCT first.mjd) AS nightsObserved,   otherPlate.programname, count(DISTINCT other.bestObjID) AS objects  FROM SpecObjAll first  JOIN SpecObjAll other ON first.bestObjID = other.bestObjID  JOIN PlateX AS firstPlate ON firstPlate.plate = first.plate  JOIN PlateX AS otherPlate ON otherPlate.plate = other.plate  WHERE first.scienceprimary = # AND other.scienceprimary = #   AND other.bestObjID > #  GROUP BY first.plate, other.plate, otherPlate.programname  ORDER BY nightsObserved DESC, otherPlate.programname,   first.plate, other.plate"
2019-12-05 00:08:00,1
2019-12-05 00:10:00,1
2019-12-05 00:13:00,1
2019-12-05 00:52:00,1
2019-12-05 00:54:00,1
2019-12-05 00:57:00,1
2019-12-05 01:02:00,1
2019-12-05 01:47:00,1
2019-12-05 02:56:00,1
2019-12-05 02:58:00,1
2019-12-05 05:08:00,1
2019-12-05 10:27:00,2
2019-12-05 10:28:00,1
2019-12-05 10:55:00,1
2019-12-05 11:05:00,1
2019-12-05 13:59:00,1
2019-12-05 14:01:00,1
2019-12-05 14:03:00,1
2019-12-05 20:37:00,1
2019-12-05 20:39:00,1
2019-12-05 20:41:00,1
