23,"select top # p.ra, p.dec, p.deVRad_r, q.z from galaxy p, dbo.fgetNearByObjEq(#,#,#) n, galSpecInfo q where p.objid=n.objid and p.specObjID=q.specObjID and p.specObjID<># and q.z>#"
2019-02-25 17:48:00,1
2019-02-25 17:52:00,1
2019-02-25 17:53:00,1
2019-02-25 17:54:00,2
2019-02-25 17:56:00,1
2019-02-25 17:57:00,1
2019-02-25 17:59:00,2
2019-02-25 18:00:00,1
2019-02-25 18:01:00,1
2019-02-25 18:04:00,1
2019-02-25 18:05:00,1
2019-02-25 18:09:00,1
2019-02-25 18:10:00,1
2019-02-25 18:11:00,1
2019-02-25 18:14:00,1
2019-02-25 18:16:00,1
2019-02-25 18:20:00,1
2019-02-25 18:21:00,1
2019-02-25 18:23:00,1
2019-02-25 18:31:00,1
2019-02-25 18:35:00,1
