23,"SELECT count(*) as &&&,     sum( case when (Type=#) then # else # end) as &&&,     sum( case when (Type=#) then # else # end) as &&&,     sum( case when (Type not in (#,#)) then # else # end) as &&& FROM PhotoPrimary  WHERE (ra between # and #) and (dec between # and #)"
2019-03-03 13:02:00,1
2019-03-03 13:03:00,1
2019-03-03 13:17:00,1
2019-03-03 13:18:00,1
2019-03-03 13:19:00,2
2019-03-03 13:20:00,1
2019-03-03 13:21:00,1
2019-03-03 13:22:00,1
2019-03-03 13:23:00,1
2019-03-03 13:24:00,2
2019-03-03 13:25:00,3
2019-03-03 13:51:00,1
2019-03-03 14:04:00,1
2019-03-03 14:05:00,1
2019-03-03 15:24:00,1
2019-03-03 15:27:00,1
2019-03-03 15:55:00,1
2019-03-03 16:00:00,1
2019-03-03 16:01:00,1
