100,"SELECT count(*) as &&&,         sum(case when (Type=#) then # else # end) as &&&,         sum(case when (Type=#) then # else # end) as &&&,         sum(case when (Type not in (#,#)) then # else # end) as &&&     FROM PhotoPrimary      WHERE (b between # and #) and (l between # and #)"
2019-03-03 16:12:00,1
2019-03-03 16:13:00,3
2019-03-03 16:14:00,5
2019-03-03 16:15:00,6
2019-03-03 16:16:00,9
2019-03-03 16:17:00,4
2019-03-03 16:18:00,3
2019-03-03 16:19:00,9
2019-03-03 16:20:00,6
2019-03-03 16:33:00,11
2019-03-03 16:34:00,7
2019-03-03 16:36:00,12
2019-03-03 16:37:00,6
2019-03-03 16:46:00,10
2019-03-03 16:47:00,8
