23,"select count(*), stim_timestamps.timestamp from session_eeg, stim_timestamps              where session_eeg.session_ID = # and stim_timestamps.session_ID = # and session_eeg.timestamp < stim_timestamps.timestamp              group by stim_timestamps.timestamp             )              select stim_timestamps_index.index_value, stim_timestamps.stim_ID from stim_timestamps_index, stim_timestamps              where stim_timestamps.session_ID = # and stim_timestamps.timestamp = stim_timestamps_index.timestamp             order by stim_timestamps_index.index_value"
2019-05-21 12:05:00,1
2019-05-21 12:31:00,1
2019-05-21 12:39:00,1
2019-05-21 12:43:00,1
2019-05-21 12:48:00,1
2019-05-21 12:51:00,1
2019-05-21 12:55:00,1
2019-05-21 12:59:00,1
2019-05-21 13:02:00,1
2019-05-21 13:07:00,1
2019-05-21 13:55:00,1
2019-05-21 14:02:00,1
2019-05-21 14:04:00,1
2019-05-21 14:05:00,1
2019-05-21 14:06:00,1
2019-05-21 14:07:00,1
2019-05-21 14:08:00,1
2019-05-21 14:09:00,2
2019-05-21 14:10:00,1
2019-05-21 14:11:00,1
2019-05-21 14:12:00,1
2019-05-21 14:13:00,1
