33,"SELECT     p.ObjID, p.ra, p.dec, n.distance, p.modelMag_u, p.modelMagErr_u, p.modelMag_g, p.modelMagErr_g, p.modelMag_r, p.modelMagErr_r,     p.modelMag_i, p.modelMagErr_i, p.modelMag_z, p.modelMagErr_z, p.psfMag_g, p.psfMagErr_g, p.psfMag_r, p.psfMagErr_r,      p.psfMag_i, p.psfMagErr_i, p.psfMag_z, p.psfMagErr_z, z.z, z.zErr, dbo.fPhotoFlagsN(flags) as flags     INTO mydb.MyTable0     FROM PhotoObj p       JOIN dbo.fGetNearbyObjEq(#,#,#) n ON n.objID = p.objID,        PhotoZ z     WHERE       p.type = #       and p.objID = z.objID       and ((flags & #) != #)       and ((flags & #) = #)       and (((flags & #) = #) or (p.psfMagErr_g <= #))       and (((flags & #) = #) or (flags & #) = #)"
2019-04-28 14:43:00,1
2019-04-28 14:44:00,2
2019-04-28 14:45:00,2
2019-04-28 14:46:00,2
2019-04-28 14:47:00,2
2019-04-28 14:48:00,2
2019-04-28 14:49:00,2
2019-04-28 14:50:00,1
2019-04-28 14:53:00,1
2019-04-28 14:55:00,2
2019-04-28 14:56:00,1
2019-04-28 14:57:00,2
2019-04-28 14:58:00,2
2019-04-28 14:59:00,2
2019-04-28 15:00:00,2
2019-04-28 15:01:00,2
2019-04-28 15:02:00,2
2019-04-28 15:03:00,2
2019-04-28 15:04:00,1
