53828,select fieldid from field where medianpsfcolor_z between # and # and q_u between # and #
2019-01-25 06:39:00,235
2019-01-25 06:40:00,376
2019-01-25 06:41:00,407
2019-01-25 06:42:00,336
2019-01-25 06:43:00,334
2019-01-25 06:44:00,355
2019-01-25 06:45:00,379
2019-01-25 06:46:00,411
2019-01-25 06:47:00,424
2019-01-25 06:48:00,279
2019-01-25 06:49:00,325
2019-01-25 06:50:00,438
2019-01-25 06:51:00,419
2019-01-25 06:52:00,438
2019-01-25 06:53:00,385
2019-01-25 06:54:00,370
2019-01-25 06:55:00,306
2019-01-25 06:56:00,140
2019-01-25 06:57:00,292
2019-01-25 06:58:00,361
2019-01-25 06:59:00,212
2019-01-25 07:00:00,305
2019-01-25 07:01:00,346
2019-01-25 07:02:00,290
2019-01-25 07:03:00,202
2019-01-25 07:04:00,394
2019-01-25 07:05:00,237
2019-01-25 07:06:00,287
2019-01-25 07:07:00,314
2019-01-25 07:08:00,348
2019-01-25 07:09:00,427
2019-01-25 07:10:00,298
2019-01-25 07:11:00,283
2019-01-25 07:12:00,293
2019-01-25 07:13:00,64
2019-01-25 07:14:00,196
2019-01-25 07:15:00,343
2019-01-25 07:16:00,348
2019-01-25 07:17:00,374
2019-01-25 07:18:00,311
2019-01-25 07:19:00,251
2019-01-25 07:20:00,353
2019-01-25 07:21:00,336
2019-01-25 07:52:00,15
2019-01-25 07:53:00,241
2019-01-25 07:54:00,317
2019-01-25 07:55:00,384
2019-01-25 07:56:00,410
2019-01-25 07:57:00,436
2019-01-25 07:58:00,402
2019-01-25 07:59:00,436
2019-01-25 08:00:00,348
2019-01-25 08:01:00,326
2019-01-25 08:02:00,410
2019-01-25 08:03:00,282
2019-01-25 08:04:00,363
2019-01-25 08:05:00,268
2019-01-25 08:06:00,346
2019-01-25 08:07:00,410
2019-01-25 08:08:00,382
2019-01-25 08:09:00,401
2019-01-25 08:10:00,359
2019-01-25 08:11:00,391
2019-01-25 08:12:00,358
2019-01-25 08:13:00,370
2019-01-25 08:14:00,379
2019-01-25 08:15:00,388
2019-01-25 08:16:00,348
2019-01-25 08:17:00,292
2019-01-25 08:18:00,100
2019-01-25 08:23:00,67
2019-01-25 08:24:00,16
2019-01-25 08:27:00,191
2019-01-25 08:28:00,28
2019-01-25 08:36:00,48
2019-01-25 08:37:00,194
2019-01-25 08:38:00,228
2019-01-25 08:39:00,399
2019-01-25 08:40:00,366
2019-01-25 08:41:00,278
2019-01-25 08:42:00,368
2019-01-25 08:43:00,187
2019-01-25 08:44:00,308
2019-01-25 08:45:00,340
2019-01-25 08:46:00,395
2019-01-25 08:47:00,203
2019-01-25 08:48:00,292
2019-01-25 08:49:00,306
2019-01-25 08:50:00,160
2019-01-25 08:51:00,309
2019-01-25 08:52:00,362
2019-01-25 08:53:00,307
2019-01-25 08:54:00,335
2019-01-25 08:55:00,249
2019-01-25 08:56:00,135
2019-01-25 08:57:00,281
2019-01-25 08:58:00,339
2019-01-25 08:59:00,381
2019-01-25 09:00:00,364
2019-01-25 09:01:00,361
2019-01-25 09:02:00,124
2019-01-25 09:03:00,348
2019-01-25 09:04:00,360
2019-01-25 09:05:00,331
2019-01-25 09:06:00,244
2019-01-25 09:07:00,302
2019-01-25 10:02:00,134
2019-01-25 10:03:00,339
2019-01-25 10:04:00,73
2019-01-25 10:12:00,235
2019-01-25 10:13:00,320
2019-01-25 10:14:00,88
2019-01-25 11:31:00,29
2019-01-25 11:32:00,153
2019-01-25 11:33:00,7
2019-01-25 11:37:00,223
2019-01-25 11:38:00,304
2019-01-25 11:39:00,1
2019-01-25 12:13:00,84
2019-01-25 12:14:00,329
2019-01-25 12:15:00,430
2019-01-25 12:16:00,350
2019-01-25 12:17:00,326
2019-01-25 12:18:00,325
2019-01-25 12:19:00,337
2019-01-25 12:20:00,142
2019-01-25 12:21:00,73
2019-01-25 12:22:00,293
2019-01-25 12:47:00,14
2019-01-25 12:56:00,180
2019-01-25 12:57:00,306
2019-01-25 12:58:00,24
2019-01-25 13:40:00,50
2019-01-25 13:41:00,304
2019-01-25 13:42:00,140
2019-01-25 13:43:00,238
2019-01-25 13:44:00,30
2019-01-25 13:46:00,226
2019-01-25 13:47:00,62
2019-01-25 14:20:00,62
2019-01-25 14:21:00,99
2019-01-25 14:35:00,14
2019-01-25 14:36:00,56
2019-01-25 16:22:00,328
2019-01-25 16:23:00,321
2019-01-25 23:23:00,124
2019-01-25 23:24:00,238
