10,"SELECT first.plate, other.plate,   COUNT(DISTINCT other.mjd) + COUNT(DISTINCT first.mjd) AS nightsObserved,   otherPlate.programname, count(DISTINCT other.bestObjID) AS objects  FROM SpecObjAll first  JOIN SpecObjAll other ON first.bestObjID = other.bestObjID  JOIN PlateX AS firstPlate ON firstPlate.plate = first.plate  JOIN PlateX AS otherPlate ON otherPlate.plate = other.plate  WHERE first.scienceprimary = # AND other.scienceprimary = #   AND other.bestObjID > #  GROUP BY first.plate, other.plate, otherPlate.programname  ORDER BY nightsObserved DESC, otherPlate.programname,   first.plate, other.plate"
2019-06-27 02:01:00,1
2019-06-27 02:58:00,1
2019-06-27 08:42:00,1
2019-06-27 08:44:00,1
2019-06-27 08:47:00,1
2019-06-27 08:52:00,1
2019-06-27 09:01:00,1
2019-06-27 09:18:00,1
2019-06-27 20:19:00,1
2019-06-27 20:20:00,1
