9453,"SELECT TOP # G.objID,G.ra,G.dec,GN.distance, PZ.z as photoz, PZ.zErr as photoz_err, S.z as specz FROM Galaxy as G JOIN dbo.fGetNearbyObjEq(#, #, #) AS GN ON G.objID = GN.objID JOIN Photoz AS PZ ON PZ.objID = GN.objID LEFT JOIN Specobj AS S ON PZ.objID = S.bestObjID ORDER BY distance"
2019-12-04 15:57:00,27
2019-12-04 16:58:00,43
2019-12-04 16:59:00,43
2019-12-04 17:00:00,46
2019-12-04 17:01:00,16
2019-12-04 17:02:00,1
2019-12-04 17:06:00,47
2019-12-04 17:07:00,84
2019-12-04 17:08:00,78
2019-12-04 17:09:00,57
2019-12-04 17:23:00,13
2019-12-04 17:24:00,74
2019-12-04 17:25:00,55
2019-12-04 17:26:00,71
2019-12-04 17:27:00,74
2019-12-04 17:28:00,67
2019-12-04 17:29:00,79
2019-12-04 17:30:00,79
2019-12-04 17:31:00,88
2019-12-04 17:32:00,72
2019-12-04 17:33:00,73
2019-12-04 17:34:00,74
2019-12-04 17:35:00,82
2019-12-04 17:36:00,75
2019-12-04 17:37:00,75
2019-12-04 17:38:00,10
2019-12-04 17:40:00,29
2019-12-04 17:41:00,595
2019-12-04 17:42:00,564
2019-12-04 17:43:00,492
2019-12-04 17:44:00,527
2019-12-04 17:45:00,485
2019-12-04 17:46:00,599
2019-12-04 17:47:00,616
2019-12-04 17:48:00,654
2019-12-04 17:49:00,601
2019-12-04 17:50:00,566
2019-12-04 17:51:00,594
2019-12-04 17:52:00,586
2019-12-04 17:53:00,445
2019-12-04 17:54:00,532
2019-12-04 17:55:00,55
2019-12-04 18:15:00,1
2019-12-04 18:22:00,1
2019-12-04 18:23:00,8
