30,"SELECT p.objid, p.psfMag_u AS u, p.psfMagErr_u as u_err, p.psfMag_g AS g, p.psfMagErr_g as g_err, p.dered_r AS r, p.psfMagErr_r as r_err, p.dered_i AS i, p.psfMagErr_i as i_err, p.dered_z AS z, p.psfMagErr_z as z_err FROM photoObj p JOIN dbo.fGetNearbyObjEq(#, #, #) n ON p.objid = n.objID WHERE p.type = # AND p.psfMag_g BETWEEN # AND # AND p.psfMag_u/p.psfMagerr_u > # AND p.psfMag_g/p.psfMagerr_g > # AND p.psfMag_r/p.psfMagerr_r > # AND p.psfMag_i/p.psfMagerr_i > # AND p.psfMag_z/p.psfMagerr_z > #"
2019-04-04 09:56:00,1
2019-04-04 15:03:00,1
2019-04-04 15:06:00,1
2019-04-04 15:10:00,1
2019-04-04 15:11:00,1
2019-04-04 15:12:00,1
2019-04-04 15:13:00,2
2019-04-04 15:15:00,1
2019-04-04 15:19:00,1
2019-04-04 15:20:00,1
2019-04-04 15:24:00,1
2019-04-04 15:26:00,4
2019-04-04 15:29:00,1
2019-04-04 15:31:00,1
2019-04-04 15:37:00,1
2019-04-04 15:40:00,1
2019-04-04 15:45:00,1
2019-04-04 15:48:00,1
2019-04-04 15:53:00,1
2019-04-04 15:55:00,1
2019-04-04 16:02:00,1
2019-04-04 16:03:00,1
2019-04-04 16:05:00,1
2019-04-04 16:06:00,1
2019-04-04 16:25:00,1
2019-04-04 16:53:00,1
