2233,"SELECT G.objID as sdss_ID, G.ra as RA, G.dec as DEC, G.modelMag_g as MODEL_MAG_G, G.modelMag_r as MODEL_MAG_R FROM Galaxy as G JOIN dbo.fGetNearbyObjEq(#,#,#) AS GN ON G.objID = GN.objID JOIN Photoz as P ON P.objID = G.objID"
2019-10-19 23:01:00,1
2019-10-19 23:02:00,23
2019-10-19 23:03:00,46
2019-10-19 23:04:00,59
2019-10-19 23:06:00,25
2019-10-19 23:07:00,20
2019-10-19 23:08:00,42
2019-10-19 23:09:00,43
2019-10-19 23:10:00,54
2019-10-19 23:11:00,58
2019-10-19 23:12:00,50
2019-10-19 23:13:00,50
2019-10-19 23:14:00,48
2019-10-19 23:15:00,51
2019-10-19 23:16:00,47
2019-10-19 23:17:00,49
2019-10-19 23:18:00,48
2019-10-19 23:19:00,50
2019-10-19 23:20:00,50
2019-10-19 23:21:00,49
2019-10-19 23:22:00,50
2019-10-19 23:23:00,50
2019-10-19 23:24:00,51
2019-10-19 23:25:00,49
2019-10-19 23:26:00,50
2019-10-19 23:27:00,49
2019-10-19 23:28:00,50
2019-10-19 23:29:00,49
2019-10-19 23:30:00,46
2019-10-19 23:31:00,46
2019-10-19 23:32:00,48
2019-10-19 23:33:00,50
2019-10-19 23:34:00,45
2019-10-19 23:35:00,49
2019-10-19 23:36:00,47
2019-10-19 23:37:00,50
2019-10-19 23:38:00,49
2019-10-19 23:39:00,45
2019-10-19 23:40:00,51
2019-10-19 23:41:00,49
2019-10-19 23:42:00,49
2019-10-19 23:43:00,48
2019-10-19 23:44:00,44
2019-10-19 23:45:00,46
2019-10-19 23:46:00,47
2019-10-19 23:47:00,44
2019-10-19 23:48:00,50
2019-10-19 23:49:00,46
2019-10-19 23:50:00,23
