15,"select v.*             from optw.tamass.VARIABLES v             where ID = #             ), -- needs query tracts as (     select TractID = ID, vintage, lon=centroid.Long, lat=centroid.Lat, wkt=geom.ToString()         , dist2geom = geom.STDistance(@center)         , dist2cent = centroid.STDistance(@center)         , m2 = geom.STArea()         , deg = geom.EnvelopeAngle()     from optw.tamass.TRACTS      where centroid.STDistance(@center) < # / # * # -- meters --         and geom.STArea() < #e9 -- m^#  ) select t.*, count_var = count(distinct c.VarID), total = sum(c.val), density = sum(c.val) / m2 * # from vars v join optw.tamass.VALS as c on c.VarID = v.ID          join tracts t on t.TractID = c.TractID and t.vintage = v.vintage where v.vintage = # -- need year       and c.VAL is not NULL group by t.TractID, t.vintage, lon, lat, wkt, dist2geom, dist2cent, m2, deg"
2019-12-01 04:29:00,1
2019-12-01 04:37:00,1
2019-12-01 04:39:00,1
2019-12-01 07:16:00,1
2019-12-01 07:18:00,1
2019-12-01 07:20:00,1
2019-12-01 07:30:00,1
2019-12-01 07:32:00,1
2019-12-01 07:35:00,1
2019-12-01 07:55:00,1
2019-12-01 07:57:00,1
2019-12-01 08:25:00,1
2019-12-01 08:31:00,1
2019-12-01 08:34:00,1
2019-12-01 08:45:00,1
