33,"select v.*             from optw.tamass.VARIABLES v              where concept like &&&                 and binmin > #                  and race is not NULL             ), -- needs query tracts as (     select TractID = ID, vintage, lon=centroid.Long, lat=centroid.Lat, wkt=geom.ToString()         , dist2geom = geom.STDistance(@center)         , dist2cent = centroid.STDistance(@center)         , m2 = geom.STArea()         , deg = geom.EnvelopeAngle()     from optw.tamass.TRACTS      where centroid.STDistance(@center) < # / # * # -- meters --         and geom.STArea() < #e9 -- m^#  ) select t.*, count_var = count(distinct c.VarID), total = sum(c.val), density = sum(c.val) / m2 * # from vars v join optw.tamass.VALS as c on c.VarID = v.ID          join tracts t on t.TractID = c.TractID and t.vintage = v.vintage where v.vintage = # -- need year       and c.VAL is not NULL group by t.TractID, t.vintage, lon, lat, wkt, dist2geom, dist2cent, m2, deg"
2019-12-01 07:36:00,1
2019-12-01 07:37:00,1
2019-12-01 07:57:00,1
2019-12-01 07:58:00,1
2019-12-01 08:26:00,2
2019-12-01 08:45:00,1
2019-12-01 08:46:00,1
2019-12-01 10:01:00,1
2019-12-01 10:02:00,1
2019-12-01 10:03:00,2
2019-12-01 10:51:00,1
2019-12-01 10:53:00,1
2019-12-01 10:54:00,1
2019-12-01 10:55:00,1
2019-12-01 10:56:00,1
2019-12-01 10:59:00,1
2019-12-01 11:03:00,1
2019-12-01 11:05:00,1
2019-12-01 11:16:00,2
2019-12-01 11:17:00,2
2019-12-01 11:21:00,1
2019-12-01 11:23:00,1
2019-12-01 11:24:00,1
2019-12-01 11:26:00,1
2019-12-01 11:29:00,1
2019-12-01 11:33:00,2
2019-12-01 11:34:00,1
2019-12-01 11:35:00,1
