16,"select count(*), stim_timestamps.timestamp from session_eeg, stim_timestamps              where session_eeg.session_ID = # and stim_timestamps.session_ID = # and session_eeg.timestamp < stim_timestamps.timestamp              group by stim_timestamps.timestamp             )              select stim_timestamps_index.index_value, stim_timestamps.stim_ID from stim_timestamps_index, stim_timestamps              where stim_timestamps.session_ID = # and stim_timestamps.timestamp = stim_timestamps_index.timestamp             order by stim_timestamps_index.index_value"
2019-04-16 13:10:00,1
2019-04-16 13:26:00,1
2019-04-16 13:33:00,1
2019-04-16 13:46:00,1
2019-04-16 13:59:00,1
2019-04-16 14:03:00,1
2019-04-16 14:04:00,3
2019-04-16 14:05:00,1
2019-04-16 14:17:00,1
2019-04-16 14:25:00,1
2019-04-16 14:27:00,1
2019-04-16 14:37:00,1
2019-04-16 14:39:00,1
2019-04-16 14:40:00,1
