57,"select count(*), stim_timestamps.timestamp from session_eeg, stim_timestamps              where session_eeg.session_ID = # and stim_timestamps.session_ID = # and session_eeg.timestamp < stim_timestamps.timestamp              group by stim_timestamps.timestamp             )              select stim_timestamps_index.index_value, stim_timestamps.stim_ID from stim_timestamps_index, stim_timestamps              where stim_timestamps.session_ID = # and stim_timestamps.timestamp = stim_timestamps_index.timestamp             order by stim_timestamps_index.index_value"
2019-01-22 14:15:00,2
2019-01-22 14:16:00,3
2019-01-22 14:17:00,2
2019-01-22 14:18:00,2
2019-01-22 14:19:00,1
2019-01-22 14:20:00,2
2019-01-22 14:21:00,1
2019-01-22 14:22:00,2
2019-01-22 14:23:00,1
2019-01-22 14:24:00,1
2019-01-22 14:25:00,1
2019-01-22 14:26:00,1
2019-01-22 14:51:00,1
2019-01-22 14:52:00,3
2019-01-22 14:53:00,2
2019-01-22 14:54:00,2
2019-01-22 14:55:00,2
2019-01-22 14:56:00,1
2019-01-22 14:57:00,2
2019-01-22 14:58:00,1
2019-01-22 14:59:00,1
2019-01-22 15:00:00,2
2019-01-22 15:03:00,1
2019-01-22 15:38:00,3
2019-01-22 15:39:00,2
2019-01-22 15:40:00,3
2019-01-22 15:41:00,1
2019-01-22 15:42:00,2
2019-01-22 15:43:00,2
2019-01-22 15:44:00,1
2019-01-22 15:45:00,1
2019-01-22 15:46:00,2
2019-01-22 15:49:00,1
2019-01-22 17:49:00,2
