86,"select m.*,o.objid, o.photoExtractID, o.ra AS ra2, o.dec AS dec2 ,o.fuv_mag,o.fuv_magerr,o.fuv_artifact,o.nuv_mag,o.nuv_magerr,o.nuv_artifact into mydb.neigh_galex_tmp from  MyDB.initial as m CROSS APPLY dbo.fGetNearbyObjEq( m.ra, m.dec, #) AS n JOIN photoobjall as o ON n.objid=o.objid"
2019-05-17 10:49:00,1
2019-05-17 10:54:00,1
2019-05-17 11:01:00,2
2019-05-17 11:02:00,1
2019-05-17 11:03:00,1
2019-05-17 11:05:00,1
2019-05-17 11:07:00,1
2019-05-17 11:09:00,1
2019-05-17 11:12:00,1
2019-05-17 11:25:00,1
2019-05-17 11:30:00,1
2019-05-17 11:33:00,1
2019-05-17 11:34:00,1
2019-05-17 11:38:00,1
2019-05-17 11:39:00,1
2019-05-17 11:41:00,2
2019-05-17 11:42:00,1
2019-05-17 11:43:00,1
2019-05-17 11:45:00,1
2019-05-17 11:48:00,1
2019-05-17 12:01:00,3
2019-05-17 12:02:00,4
2019-05-17 12:06:00,1
2019-05-17 12:08:00,4
2019-05-17 12:10:00,4
2019-05-17 12:13:00,2
2019-05-17 12:14:00,5
2019-05-17 12:15:00,1
2019-05-17 12:27:00,1
2019-05-17 12:31:00,1
2019-05-17 12:34:00,1
2019-05-17 12:38:00,1
2019-05-17 12:41:00,1
2019-05-17 12:45:00,1
2019-05-17 12:49:00,1
2019-05-17 12:53:00,1
2019-05-17 12:57:00,1
2019-05-17 13:01:00,1
2019-05-17 13:06:00,1
2019-05-17 13:10:00,1
2019-05-17 13:14:00,1
2019-05-17 14:49:00,1
2019-05-17 14:56:00,1
2019-05-17 15:03:00,1
2019-05-17 15:32:00,1
2019-05-17 15:38:00,1
2019-05-17 15:45:00,1
2019-05-17 15:52:00,1
2019-05-17 15:59:00,1
2019-05-17 16:08:00,1
2019-05-17 16:16:00,1
2019-05-17 16:25:00,1
2019-05-17 16:33:00,1
2019-05-17 16:41:00,1
2019-05-17 16:48:00,1
2019-05-17 16:55:00,1
2019-05-17 17:02:00,1
2019-05-17 17:09:00,1
2019-05-17 17:17:00,1
2019-05-17 18:24:00,1
2019-05-17 18:30:00,1
2019-05-17 18:38:00,1
2019-05-17 18:52:00,1
2019-05-17 19:04:00,1
2019-05-17 19:18:00,1
2019-05-17 19:31:00,1
2019-05-17 19:44:00,1
2019-05-17 19:58:00,1
