13646,"SELECT DISTINCT p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.class, s.z, s.plate, s.mjd, s.fiberID, s.specobjid, s.run2d, s.instrument FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-05-17 17:30:00,234
2019-05-17 17:31:00,65
2019-05-17 17:32:00,204
2019-05-17 17:33:00,247
2019-05-17 17:34:00,297
2019-05-17 17:35:00,344
2019-05-17 17:36:00,319
2019-05-17 17:37:00,319
2019-05-17 17:38:00,287
2019-05-17 17:39:00,322
2019-05-17 17:40:00,294
2019-05-17 17:41:00,318
2019-05-17 17:42:00,318
2019-05-17 17:43:00,343
2019-05-17 17:44:00,333
2019-05-17 17:45:00,294
2019-05-17 17:46:00,310
2019-05-17 17:47:00,307
2019-05-17 17:48:00,318
2019-05-17 17:49:00,333
2019-05-17 17:50:00,327
2019-05-17 17:51:00,289
2019-05-17 17:52:00,332
2019-05-17 17:53:00,279
2019-05-17 17:54:00,309
2019-05-17 17:55:00,268
2019-05-17 17:56:00,314
2019-05-17 17:57:00,280
2019-05-17 17:58:00,304
2019-05-17 17:59:00,304
2019-05-17 18:00:00,308
2019-05-17 18:01:00,320
2019-05-17 18:02:00,309
2019-05-17 18:03:00,275
2019-05-17 18:04:00,301
2019-05-17 18:05:00,252
2019-05-17 18:06:00,270
2019-05-17 18:07:00,235
2019-05-17 18:08:00,296
2019-05-17 18:09:00,321
2019-05-17 18:10:00,237
2019-05-17 18:11:00,295
2019-05-17 18:12:00,276
2019-05-17 18:13:00,284
2019-05-17 18:14:00,273
2019-05-17 18:15:00,198
2019-05-17 18:16:00,260
2019-05-17 18:17:00,124
