21,"SELECT TOP #  cast(str(p.ra,#,#) as float) as ra,p.dec,p.psfMag_u,p.psfMagErr_u,p.psfMag_g,p.psfMagErr_g,p.psfMag_r,p.psfMagErr_r,p.psfMag_i,p.psfMagErr_i,p.psfMag_z,p.psfMagErr_z,p.probPSF,p.objID,ISNULL(s.specObjID,#) as specObjID,ISNULL(s.z,#) as redshift,ISNULL(s.zErr,#) as redshiftErr  FROM ..PhotoObj AS p  LEFT OUTER JOIN ..SpecObj s ON p.objID = s.bestObjID  JOIN dbo.fGetNearbyObjEq(#,#,#) AS b ON b.objID = P.objID"
2019-01-31 16:52:00,1
2019-01-31 16:59:00,2
2019-01-31 17:00:00,2
2019-01-31 17:01:00,2
2019-01-31 17:02:00,1
2019-01-31 17:09:00,1
2019-01-31 17:15:00,2
2019-01-31 17:18:00,1
2019-01-31 17:21:00,1
2019-01-31 17:27:00,1
2019-01-31 17:28:00,1
2019-01-31 17:31:00,1
2019-01-31 17:33:00,2
2019-01-31 17:49:00,1
2019-01-31 17:51:00,1
2019-01-31 17:52:00,1
