14,"SELECT first.plate, other.plate,   COUNT(DISTINCT other.mjd) + COUNT(DISTINCT first.mjd) AS nightsObserved,   otherPlate.programname, count(DISTINCT other.bestObjID) AS objects  FROM SpecObjAll first  JOIN SpecObjAll other ON first.bestObjID = other.bestObjID  JOIN PlateX AS firstPlate ON firstPlate.plate = first.plate  JOIN PlateX AS otherPlate ON otherPlate.plate = other.plate  WHERE first.scienceprimary = # AND other.scienceprimary = #   AND other.bestObjID > #  GROUP BY first.plate, other.plate, otherPlate.programname  ORDER BY nightsObserved DESC, otherPlate.programname,   first.plate, other.plate"
2019-05-24 17:40:00,1
2019-05-24 17:42:00,1
2019-05-24 17:46:00,1
2019-05-24 17:51:00,1
2019-05-24 18:00:00,1
2019-05-24 18:17:00,1
2019-05-24 19:55:00,1
2019-05-24 20:56:00,1
2019-05-24 20:58:00,1
2019-05-24 21:01:00,1
2019-05-24 21:06:00,1
2019-05-24 21:15:00,1
2019-05-24 21:18:00,1
2019-05-24 21:32:00,1
