598,"select O.ra, O.dec, O.probPSF, O.psfMag_g from dbo.fGetNearbyObjEq(#,#,#) as N inner join PhotoObjAll as O on O.objID = N.objID order by N.distance"
2019-08-31 19:07:00,1
2019-08-31 19:08:00,4
2019-08-31 19:09:00,1
2019-08-31 19:10:00,1
2019-08-31 19:11:00,5
2019-08-31 19:12:00,1
2019-08-31 19:13:00,2
2019-08-31 19:16:00,1
2019-08-31 19:17:00,6
2019-08-31 19:18:00,19
2019-08-31 19:19:00,16
2019-08-31 19:20:00,21
2019-08-31 19:21:00,4
2019-08-31 19:22:00,8
2019-08-31 19:23:00,9
2019-08-31 19:24:00,8
2019-08-31 19:25:00,12
2019-08-31 19:27:00,5
2019-08-31 19:28:00,8
2019-08-31 19:29:00,2
2019-08-31 19:31:00,2
2019-08-31 19:32:00,8
2019-08-31 19:33:00,8
2019-08-31 19:34:00,3
2019-08-31 19:35:00,16
2019-08-31 19:37:00,13
2019-08-31 19:39:00,9
2019-08-31 19:40:00,9
2019-08-31 19:41:00,22
2019-08-31 19:42:00,19
2019-08-31 19:43:00,32
2019-08-31 19:44:00,3
2019-08-31 19:47:00,5
2019-08-31 19:48:00,24
2019-08-31 19:49:00,22
2019-08-31 19:50:00,9
2019-08-31 19:51:00,24
2019-08-31 19:53:00,7
2019-08-31 19:54:00,7
2019-08-31 19:55:00,7
2019-08-31 19:56:00,12
2019-08-31 19:57:00,5
2019-08-31 19:58:00,10
2019-08-31 19:59:00,6
2019-08-31 20:00:00,6
2019-08-31 20:01:00,8
2019-08-31 20:02:00,4
2019-08-31 20:03:00,14
2019-08-31 20:04:00,15
2019-08-31 20:08:00,2
2019-08-31 20:09:00,8
2019-08-31 20:10:00,12
2019-08-31 20:11:00,13
2019-08-31 20:12:00,21
2019-08-31 20:13:00,9
2019-08-31 20:14:00,4
2019-08-31 20:15:00,7
2019-08-31 20:16:00,8
2019-08-31 20:17:00,11
2019-08-31 20:18:00,10
2019-08-31 20:19:00,9
2019-08-31 20:20:00,4
2019-08-31 20:22:00,11
2019-08-31 20:23:00,4
2019-08-31 20:24:00,2
