3495,"SELECT ALL  p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.type,  p.isoA_u, p.isoA_g, p.isoA_r, p.isoA_i, p.isoA_z,  p.isoB_u, p.isoB_g, p.isoB_r, p.isoB_i, p.isoB_z,  p.isoPhi_u, p.isoPhi_g, p.isoPhi_r, p.isoPhi_i, p.isoPhi_z,  p.flags, dbo.fPhotoFlagsN(p.flags)  FROM PhotoObj AS p  WHERE  p.ra BETWEEN # AND # AND p.dec BETWEEN # AND #  AND (p.type = # OR (p.flags & dbo.fPhotoFlags(&&&)) > #)  ORDER by p.r"
2019-08-31 08:56:00,11
2019-08-31 08:57:00,12
2019-08-31 08:58:00,11
2019-08-31 08:59:00,12
2019-08-31 09:00:00,10
2019-08-31 09:01:00,11
2019-08-31 09:02:00,10
2019-08-31 09:03:00,10
2019-08-31 09:04:00,12
2019-08-31 09:05:00,9
2019-08-31 09:06:00,11
2019-08-31 09:07:00,12
2019-08-31 09:08:00,10
2019-08-31 09:09:00,10
2019-08-31 09:10:00,12
2019-08-31 09:11:00,10
2019-08-31 09:12:00,11
2019-08-31 09:13:00,10
2019-08-31 09:14:00,10
2019-08-31 09:15:00,11
2019-08-31 09:16:00,11
2019-08-31 09:17:00,9
2019-08-31 09:18:00,12
2019-08-31 09:19:00,11
2019-08-31 09:20:00,10
2019-08-31 09:21:00,12
2019-08-31 09:22:00,8
2019-08-31 09:23:00,11
2019-08-31 09:24:00,11
2019-08-31 09:25:00,8
2019-08-31 09:26:00,10
2019-08-31 09:27:00,11
2019-08-31 09:28:00,11
2019-08-31 09:29:00,12
2019-08-31 09:30:00,12
2019-08-31 09:31:00,11
2019-08-31 09:32:00,10
2019-08-31 09:33:00,12
2019-08-31 09:34:00,12
2019-08-31 09:35:00,10
2019-08-31 09:36:00,10
2019-08-31 09:37:00,12
2019-08-31 09:38:00,11
2019-08-31 09:39:00,10
2019-08-31 09:40:00,9
2019-08-31 09:41:00,11
2019-08-31 09:42:00,13
2019-08-31 09:43:00,12
2019-08-31 09:44:00,11
2019-08-31 09:45:00,13
2019-08-31 09:46:00,11
2019-08-31 09:47:00,10
2019-08-31 09:48:00,10
2019-08-31 09:49:00,11
2019-08-31 09:50:00,11
2019-08-31 09:51:00,11
2019-08-31 09:52:00,11
2019-08-31 09:53:00,12
2019-08-31 09:54:00,13
2019-08-31 09:55:00,11
2019-08-31 09:56:00,10
2019-08-31 09:57:00,10
2019-08-31 09:58:00,11
2019-08-31 09:59:00,12
2019-08-31 10:00:00,8
2019-08-31 10:01:00,9
2019-08-31 10:02:00,13
2019-08-31 10:03:00,7
