48,"SELECT dbo.fPhotoTypeN(p.type) AS Type, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field, p.obj, p.specObjID, p.objID, p.l, p.b, p.type, p.u, p.g, p.r, p.i, p.z AS pz, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, p.flags, p.mjd AS ImageMJD, dbo.fMjdToGMT(p.mjd) AS ImageMJDString, dbo.fPhotoModeN(p.mode) AS Mode, p.parentID, p.nChild, p.extinction_r, p.petroRad_r, p.petroRadErr_r, Photoz.z AS Photoz, Photoz.zerr AS Photoz_err, zooSpec.spiral AS Zoo1Morphology_spiral, zooSpec.elliptical AS Zoo1Morphology_elliptical, zooSpec.uncertain AS Zoo1Morphology_uncertain, s.instrument, s.class, s.z, s.zErr, s.survey, s.programname, s.sourcetype, s.velDisp, s.velDispErr, s.plate, s.mjd AS specMJD, s.fiberID FROM PhotoObj AS p LEFT JOIN Photoz ON Photoz.objID = p.objID LEFT JOIN zooSpec ON zooSpec.objID = p.objID LEFT JOIN SpecObj AS s ON s.specObjID = p.specObjID WHERE p.objID=#"
2019-04-18 13:08:00,1
2019-04-18 13:09:00,1
2019-04-18 13:13:00,1
2019-04-18 13:33:00,1
2019-04-18 13:53:00,1
2019-04-18 13:56:00,3
2019-04-18 14:00:00,1
2019-04-18 14:07:00,1
2019-04-18 14:09:00,2
2019-04-18 14:10:00,2
2019-04-18 14:19:00,2
2019-04-18 14:21:00,1
2019-04-18 14:24:00,1
2019-04-18 14:39:00,1
2019-04-18 14:40:00,1
2019-04-18 14:50:00,1
2019-04-18 14:52:00,1
2019-04-18 14:53:00,1
2019-04-18 14:55:00,1
2019-04-18 14:56:00,1
2019-04-18 14:57:00,1
2019-04-18 14:59:00,1
2019-04-18 15:00:00,1
2019-04-18 15:05:00,1
2019-04-18 15:06:00,1
2019-04-18 15:08:00,1
2019-04-18 15:12:00,1
2019-04-18 15:19:00,1
2019-04-18 15:20:00,2
2019-04-18 15:23:00,1
2019-04-18 15:25:00,1
2019-04-18 15:31:00,1
2019-04-18 15:33:00,1
2019-04-18 15:39:00,1
2019-04-18 15:40:00,1
2019-04-18 15:45:00,1
2019-04-18 15:46:00,1
2019-04-18 15:47:00,1
2019-04-18 15:50:00,1
2019-04-18 15:53:00,1
2019-04-18 15:55:00,1
2019-04-18 16:01:00,1
